index,v0,v1,v2,v3,v4,v5_raw,flag
0,10101,1,102031,22,22,63,1
1,10102,1,102031,22,22,63,1
2,10103,1,102031,22,22,63,1
3,10201,1,102031,22,22,63,1
4,10202,1,102031,22,22,63,1
5,10203,1,102031,22,22,63,1
6,10301,1,102031,22,22,0,0
7,10302,1,102031,22,22,0,0
8,10303,1,102031,22,22,0,0
9,10401,1,102031,22,22,57,1
10,10402,1,102031,22,22,57,1
11,10403,1,102031,22,22,57,1
12,30101,1,101032,22,22,53,1
13,30102,1,101032,22,22,50,1
14,30103,1,101032,22,22,47,1
15,30201,1,101032,22,22,53,1
16,30202,1,101032,22,22,50,1
17,30203,1,101032,22,22,47,1
18,30301,1,101032,22,22,53,1
19,30302,1,101032,22,22,50,1
20,30303,1,101032,22,22,47,1
21,30401,1,101032,22,22,53,1
22,30402,1,101032,22,22,50,1
23,30403,1,101032,22,22,47,1
24,50101,3,101011,22,22,77,1
25,50102,3,101011,22,22,77,1
26,50103,3,101011,22,22,77,1
27,50201,3,101011,22,22,77,1
28,50202,3,101011,22,22,77,1
29,50203,3,101011,22,22,77,1
30,50301,3,101011,22,22,77,1
31,50302,3,101011,22,22,77,1
32,50303,3,101011,22,22,77,1
33,50401,3,101011,22,22,77,1
34,50402,3,101011,22,22,77,1
35,50403,3,101011,22,22,77,1
36,50501,3,101011,22,22,77,1
37,50502,3,101011,22,22,77,1
38,50503,3,101011,22,22,77,1
39,50601,3,101011,22,22,63,1
40,50602,3,101011,22,22,63,1
41,50603,3,101011,22,22,63,1
42,70101,4,101011,22,22,77,1
43,70102,4,101011,22,22,77,1
44,70103,4,101011,22,22,77,1
45,70201,4,101011,22,22,77,1
46,70202,4,101011,22,22,77,1
47,70203,4,101011,22,22,77,1
48,70301,4,101011,22,22,77,1
49,70302,4,101011,22,22,77,1
50,70303,4,101011,22,22,77,1
51,10104,1,105062,22,22,245,1
52,10204,1,105062,22,22,170,1
53,10304,1,105062,22,22,0,0
54,10404,1,105062,22,22,145,1
55,30104,1,105062,22,22,145,1
56,30204,1,105062,22,22,145,1
57,30304,1,105062,22,22,145,1
58,30404,1,105062,22,22,145,1
59,50104,3,105062,22,22,170,1
60,50204,3,105062,22,22,170,1
61,50304,3,105062,22,22,170,1
62,50404,3,105062,22,22,170,1
63,50504,3,105062,22,22,170,1
64,50604,3,105062,22,22,300,1
65,70104,4,105062,22,22,170,1
66,70204,4,105062,22,22,170,1
67,70304,4,105062,22,22,170,1
