index,key0,key1,key2,key3,key4,key5,val0,val1,val2,val3,val4,extra
0,10001,1,0,0,0,0,0,0,0,0,0,1
1,10002,1,2,0,0,0,0,0,0,0,0,2
2,10003,1,2,3,0,0,0,0,0,0,0,3
3,10004,1,2,3,4,0,0,0,0,0,0,4
4,10005,1,2,3,4,5,0,0,0,0,0,5
5,11001,1,0,0,0,0,1,0,0,0,0,1
6,11002,1,2,0,0,0,1,1,0,0,0,2
7,11003,1,2,3,0,0,1,1,1,0,0,3
8,11004,1,2,3,4,0,1,1,1,1,0,4
9,11005,1,2,3,4,5,1,1,1,1,1,5
10,20001,1,0,0,0,0,0,0,0,0,0,1
11,20002,1,2,0,0,0,0,0,0,0,0,2
12,20003,1,2,3,0,0,0,0,0,0,0,3
13,20004,1,2,3,4,0,0,0,0,0,0,4
14,20005,1,2,3,4,5,0,0,0,0,0,5
15,21001,1,0,0,0,0,1,1,1,1,1,1
16,21002,1,2,0,0,0,1,1,1,1,1,2
17,21003,1,2,3,0,0,1,1,1,1,1,3
18,21004,1,2,3,4,0,1,1,1,1,1,4
19,21005,1,2,3,4,5,1,1,1,1,1,5
20,30001,1,0,0,0,0,0,0,0,0,0,1
21,30002,1,2,0,0,0,0,0,0,0,0,2
22,30003,1,2,3,0,0,0,0,0,0,0,3
23,30004,1,2,3,4,0,0,0,0,0,0,4
24,30005,1,2,3,4,5,0,0,0,0,0,5
25,31001,1,0,0,0,0,1,1,1,1,1,1
26,31002,1,2,0,0,0,1,1,1,1,1,2
27,31003,1,2,3,0,0,1,1,1,1,1,3
28,31004,1,2,3,4,0,1,1,1,1,1,4
29,31005,1,2,3,4,5,1,1,1,1,1,5
30,40001,1,0,0,0,0,0,0,0,0,0,1
31,40002,1,2,0,0,0,0,0,0,0,0,2
32,40003,1,2,3,0,0,0,0,0,0,0,3
33,40004,1,2,3,4,0,0,0,0,0,0,4
34,40005,1,2,3,4,5,0,0,0,0,0,5
35,41001,1,0,0,0,0,1,1,1,1,1,1
36,41002,1,2,0,0,0,1,1,1,1,1,2
37,41003,1,2,3,0,0,1,1,1,1,1,3
38,41004,1,2,3,4,0,1,1,1,1,1,4
39,41005,1,2,3,4,5,1,1,1,1,1,5
40,50001,1,0,0,0,0,0,0,0,0,0,1
41,50002,1,2,0,0,0,0,0,0,0,0,2
42,50003,1,2,3,0,0,0,0,0,0,0,3
43,50004,1,2,3,4,0,0,0,0,0,0,4
44,50005,1,2,3,4,5,0,0,0,0,0,5
45,51001,1,0,0,0,0,1,1,1,1,1,1
46,51002,1,2,0,0,0,1,1,1,1,1,2
47,51003,1,2,3,0,0,1,1,1,1,1,3
48,51004,1,2,3,4,0,1,1,1,1,1,4
49,51005,1,2,3,4,5,1,1,1,1,1,5
50,100000,1,0,0,0,0,0,0,0,0,0,1
51,200000,1,2,0,0,0,0,0,0,0,0,2
52,300000,1,2,3,0,0,0,0,0,0,0,3
53,400000,1,2,3,4,0,0,0,0,0,0,4
54,500000,1,2,3,4,5,0,0,0,0,0,5
55,110000,1,0,0,0,0,1,0,0,0,0,1
56,211000,1,2,0,0,0,1,1,0,0,0,2
57,311100,1,2,3,0,0,1,1,1,0,0,3
58,411110,1,2,3,4,0,1,1,1,1,0,4
59,511111,1,2,3,4,5,1,1,1,1,1,5
60,120000,1,0,0,0,0,2,0,0,0,0,1
61,222000,1,2,0,0,0,2,2,0,0,0,2
62,322200,1,2,3,0,0,2,2,2,0,0,3
63,422220,1,2,3,4,0,2,2,2,2,0,4
64,522222,1,2,3,4,5,2,2,2,2,2,5
65,130000,1,0,0,0,0,3,0,0,0,0,1
66,233000,1,2,0,0,0,3,3,0,0,0,2
67,333300,1,2,3,0,0,3,3,3,0,0,3
68,433330,1,2,3,4,0,3,3,3,3,0,4
69,533333,1,2,3,4,5,3,3,3,3,3,5
