index,cursor_id,resource_id,filename_len,filename,hotspot_x,hotspot_y,scale
0,10101,10101,20,common_normal000.bmp,0,0,100
1,10201,10201,20,common_button000.bmp,0,0,100
2,10301,10301,20,common_choice000.bmp,0,0,100
3,10401,10401,20,common_camera001.bmp,0,0,100
4,10501,10501,22,common_cmessage000.bmp,0,0,100
5,10601,10601,21,common_waiting000.bmp,0,0,100
6,20101,20101,20,attack_normal001.bmp,0,0,100
7,20201,20201,18,attack_boss001.bmp,0,0,100
8,20301,20301,16,attack_pc001.bmp,0,0,100
9,30101,30101,19,move_movable000.bmp,0,0,100
10,30201,30201,19,move_disalbe000.bmp,0,0,100
11,30301,30301,16,move_warp004.bmp,0,0,100
12,30401,30401,17,move_lobby000.bmp,0,0,100
13,30501,30501,17,move_board004.bmp,0,0,100
14,30601,30601,21,move_warehouse000.bmp,0,0,100
15,30701,30701,19,move_vending000.bmp,0,0,100
16,30801,30801,19,move_auction000.bmp,0,0,100
17,30901,30901,20,move_hairshop000.bmp,0,0,100
18,40101,40101,17,target_npc003.bmp,0,0,100
19,40201,40201,16,target_pc003.bmp,0,0,100
20,50101,50101,21,object_destory000.bmp,0,0,100
21,50201,50201,18,object_lift001.bmp,0,0,100
22,50301,50301,18,object_push000.bmp,0,0,100
23,50401,50401,19,object_climb004.bmp,0,0,100
24,50501,50501,19,object_lever000.bmp,0,0,100
25,50601,50601,20,object_button000.bmp,0,0,100
26,50701,50701,19,object_chair000.bmp,0,0,100
