item_id,code,name,desc,extra,i0,i1,i2,i3
101100,rs_G1100,翡翠・刀源石 1-C,ほのかに輝く翡翠のかけら。ブレードに装着する。1年生用。<br>(パワーゲージ最大値 +1),ブレードを強化,7,0,5,0
101101,rs_G1100,翡翠・刀源石 1-B,キラキラ輝く翡翠のかけら。ブレードに装着する。1年生用。<br>(パワーゲージ最大値 +1),ブレードを強化,7,0,5,0
101102,rs_G1100,翡翠・刀源石 1-A,力強く輝く翡翠のかけら。ブレードに装着する。1年生用。<br>(パワーゲージ最大値 +1),ブレードを強化,7,0,5,0
101110,rs_G1101,翡翠・刀源石 2-C,ほのかに輝く翡翠。ブレードに装着する。1年生用。<br>(パワーゲージ最大値 +1),ブレードを強化,7,0,5,0
101111,rs_G1101,翡翠・刀源石 2-B,キラキラ輝く翡翠。ブレードに装着する。1年生用。<br>(パワーゲージ最大値 +1),ブレードを強化,7,0,5,0
101112,rs_G1101,翡翠・刀源石 2-A,力強く輝く翡翠。ブレードに装着する。1年生用。<br>(パワーゲージ最大値 +1),ブレードを強化,7,0,5,0
101200,rs_G2100,緑柱・刀源石 1-C,ほのかに輝くエメラルドのかけら。ブレードに装着する。2年生用。<br>(パワーゲージ最大値 +1),ブレードを強化,8,0,5,0
101201,rs_G2100,緑柱・刀源石 1-B,キラキラ輝くエメラルドのかけら。ブレードに装着する。2年生用。<br>(パワーゲージ最大値 +1),ブレードを強化,8,0,5,0
101202,rs_G2100,緑柱・刀源石 1-A,力強く輝くエメラルドのかけら。ブレードに装着する。2年生用。<br>(パワーゲージ最大値 +1),ブレードを強化,8,0,5,0
101210,rs_G2101,緑柱・刀源石 2-C,ほのかに輝くエメラルド。ブレードに装着する。2年生用。<br>(パワーゲージ最大値 +1),ブレードを強化,8,0,5,0
101211,rs_G2101,緑柱・刀源石 2-B,キラキラ輝くエメラルド。ブレードに装着する。2年生用。<br>(パワーゲージ最大値 +1),ブレードを強化,8,0,5,0
101212,rs_G2101,緑柱・刀源石 2-A,力強く輝くエメラルド。ブレードに装着する。2年生用。<br>(パワーゲージ最大値 +1),ブレードを強化,8,0,5,0
101220,rs_G2102,緑柱・刀源石 3-C,ほのかに輝く大きなエメラルド。ブレードに装着する。2年生用。<br>(パワーゲージ最大値 +1),ブレードを強化,8,0,5,0
101221,rs_G2102,緑柱・刀源石 3-B,キラキラ輝く大きなエメラルド。ブレードに装着する。2年生用。<br>(パワーゲージ最大値 +1),ブレードを強化,8,0,5,0
101222,rs_G2102,緑柱・刀源石 3-A,力強く輝く大きなエメラルド。ブレードに装着する。2年生用。<br>(パワーゲージ最大値 +1),ブレードを強化,8,0,5,0
101300,rs_G3100,珊瑚・刀源石 1-C,ほのかに輝く自然の珊瑚。ブレードに装着する。3年生用。<br>(パワーゲージ最大値 +1),ブレードを強化,9,0,5,0
