index,key,d00,d01,d02,d03,d04,d05,d06,d07,d08,d09,d10,d11,d12,d13,d14,d15,d16,d17,d18,d19,d20,d21,semantic_episode_id_dup,semantic_intro_chain_flag,semantic_unlock_ref_a,semantic_unlock_ref_b,semantic_unlock_ref_c,semantic_intro_finale_flag,semantic_unlock_ref_a_alt,semantic_unlock_ref_b_alt,semantic_unlock_ref_c_alt,semantic_unused_d09,semantic_unused_d10,semantic_unused_d11,semantic_unused_d12,semantic_type,semantic_level,semantic_team_mode_flag,semantic_minplayers,semantic_maxplayers,semantic_minteams,semantic_maxteams,semantic_unknown_constant,semantic_unknown_d21
0,9999,9999,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,8,1,1,2,0,9999,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,8,1,1,2,0
1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,26,2,1,8,1,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,26,2,1,8,1,1,2,0
2,5,5,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,8,1,1,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,8,1,1,2,0
3,6,6,0,0,0,0,0,0,0,0,0,0,0,0,1,5,2,1,8,1,1,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,5,2,1,8,1,1,2,0
4,15,15,0,0,0,0,0,0,0,0,0,0,0,0,1,14,2,1,8,1,1,2,0,15,0,0,0,0,0,0,0,0,0,0,0,0,1,14,2,1,8,1,1,2,0
5,17,17,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,1,8,1,1,2,0,17,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,1,8,1,1,2,0
6,18,18,0,0,0,0,0,0,0,0,0,0,0,0,1,7,2,1,8,1,1,2,0,18,0,0,0,0,0,0,0,0,0,0,0,0,1,7,2,1,8,1,1,2,0
7,23,23,0,0,0,0,0,0,0,0,0,0,0,0,1,11,2,1,8,1,1,2,0,23,0,0,0,0,0,0,0,0,0,0,0,0,1,11,2,1,8,1,1,2,0
8,27,27,0,0,0,0,0,0,0,0,0,0,0,0,1,20,2,1,8,1,1,2,0,27,0,0,0,0,0,0,0,0,0,0,0,0,1,20,2,1,8,1,1,2,0
9,31,31,0,0,0,0,0,0,0,0,0,0,0,0,1,20,2,1,8,1,1,2,0,31,0,0,0,0,0,0,0,0,0,0,0,0,1,20,2,1,8,1,1,2,0
10,32,32,0,0,0,0,0,0,0,0,0,0,0,0,1,11,2,1,8,1,1,2,0,32,0,0,0,0,0,0,0,0,0,0,0,0,1,11,2,1,8,1,1,2,0
11,33,33,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,1,8,1,1,2,0,33,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,1,8,1,1,2,0
12,34,34,0,0,0,0,0,0,0,0,0,0,0,0,1,14,2,1,8,1,1,2,0,34,0,0,0,0,0,0,0,0,0,0,0,0,1,14,2,1,8,1,1,2,0
13,44,44,0,0,0,0,0,0,0,0,0,0,0,0,1,7,2,1,8,1,1,2,0,44,0,0,0,0,0,0,0,0,0,0,0,0,1,7,2,1,8,1,1,2,0
14,56,56,0,0,0,0,0,0,0,0,0,0,0,0,1,29,2,1,8,1,1,2,0,56,0,0,0,0,0,0,0,0,0,0,0,0,1,29,2,1,8,1,1,2,0
15,61,61,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,8,1,1,2,0,61,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,8,1,1,2,0
16,62,62,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,2,16,2,2,2,1,62,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,2,16,2,2,2,1
17,63,63,0,0,0,0,0,0,0,0,0,0,0,0,1,23,2,1,8,1,1,2,0,63,0,0,0,0,0,0,0,0,0,0,0,0,1,23,2,1,8,1,1,2,0
18,64,64,0,0,0,0,0,0,0,0,0,0,0,0,1,29,2,1,8,1,1,2,0,64,0,0,0,0,0,0,0,0,0,0,0,0,1,29,2,1,8,1,1,2,0
19,68,68,0,0,0,0,0,0,0,0,0,0,0,0,1,5,2,1,8,1,1,2,0,68,0,0,0,0,0,0,0,0,0,0,0,0,1,5,2,1,8,1,1,2,0
20,69,69,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,2,32,2,2,2,1,69,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,2,32,2,2,2,1
21,70,70,0,0,0,0,0,0,0,0,0,0,0,0,1,17,2,1,8,1,1,2,0,70,0,0,0,0,0,0,0,0,0,0,0,0,1,17,2,1,8,1,1,2,0
22,71,71,0,0,0,0,0,0,0,0,0,0,0,0,1,26,2,1,8,1,1,2,0,71,0,0,0,0,0,0,0,0,0,0,0,0,1,26,2,1,8,1,1,2,0
23,76,76,0,0,0,0,0,0,0,0,0,0,0,0,1,17,2,1,8,1,1,2,0,76,0,0,0,0,0,0,0,0,0,0,0,0,1,17,2,1,8,1,1,2,0
24,77,77,0,0,0,0,0,0,0,0,0,0,0,0,1,23,2,1,8,1,1,2,0,77,0,0,0,0,0,0,0,0,0,0,0,0,1,23,2,1,8,1,1,2,0
25,79,79,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,1,8,1,1,2,0,79,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,1,8,1,1,2,0
26,80,80,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,1,8,1,1,2,0,80,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,1,8,1,1,2,0
27,114,114,2,162,101,62,0,0,0,0,0,0,0,0,1,9,2,1,1,1,1,2,2,114,2,162,101,62,0,0,0,0,0,0,0,0,1,9,2,1,1,1,1,2,2
28,115,115,2,27,49,57,0,0,0,0,0,0,0,0,1,9,2,1,1,1,1,2,2,115,2,27,49,57,0,0,0,0,0,0,0,0,1,9,2,1,1,1,1,2,2
29,121,121,2,1,68,98,2,1,68,98,0,0,0,0,1,1,2,1,1,1,1,2,2,121,2,1,68,98,2,1,68,98,0,0,0,0,1,1,2,1,1,1,1,2,2
30,125,125,2,90,118,164,2,90,118,164,0,0,0,0,1,1,2,1,1,1,1,2,2,125,2,90,118,164,2,90,118,164,0,0,0,0,1,1,2,1,1,1,1,2,2
31,142,142,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,1,1,1,1,2,2,142,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,1,1,1,1,2,2
32,8002,8002,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,8,1,1,2,0,8002,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,8,1,1,2,0
33,8003,8003,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,8,1,1,2,0,8003,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,8,1,1,2,0
34,8004,8004,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,8,1,1,2,0,8004,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,8,1,1,2,0
35,8100,8100,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,8,1,1,2,0,8100,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,8,1,1,2,0
36,3,3,0,0,0,0,0,0,0,0,0,0,0,0,1,52,2,1,8,1,1,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,52,2,1,8,1,1,2,0
37,7,7,0,0,0,0,0,0,0,0,0,0,0,0,1,46,2,1,8,1,1,2,0,7,0,0,0,0,0,0,0,0,0,0,0,0,1,46,2,1,8,1,1,2,0
38,8,8,0,0,0,0,0,0,0,0,0,0,0,0,1,36,2,1,8,1,1,2,0,8,0,0,0,0,0,0,0,0,0,0,0,0,1,36,2,1,8,1,1,2,0
39,10,10,0,0,0,0,0,0,0,0,0,0,0,0,1,55,2,1,8,1,1,2,0,10,0,0,0,0,0,0,0,0,0,0,0,0,1,55,2,1,8,1,1,2,0
40,14,14,0,0,0,0,0,0,0,0,0,0,0,0,1,34,2,1,8,1,1,2,0,14,0,0,0,0,0,0,0,0,0,0,0,0,1,34,2,1,8,1,1,2,0
41,16,16,0,0,0,0,0,0,0,0,0,0,0,0,1,40,2,1,8,1,1,2,0,16,0,0,0,0,0,0,0,0,0,0,0,0,1,40,2,1,8,1,1,2,0
42,29,29,0,0,0,0,0,0,0,0,0,0,0,0,1,38,2,1,8,1,1,2,0,29,0,0,0,0,0,0,0,0,0,0,0,0,1,38,2,1,8,1,1,2,0
43,30,30,0,0,0,0,0,0,0,0,0,0,0,0,1,32,2,1,8,1,1,2,0,30,0,0,0,0,0,0,0,0,0,0,0,0,1,32,2,1,8,1,1,2,0
44,36,36,0,0,0,0,0,0,0,0,0,0,0,0,1,49,2,1,8,1,1,2,0,36,0,0,0,0,0,0,0,0,0,0,0,0,1,49,2,1,8,1,1,2,0
45,39,39,0,0,0,0,0,0,0,0,0,0,0,0,1,43,2,4,8,1,1,2,0,39,0,0,0,0,0,0,0,0,0,0,0,0,1,43,2,4,8,1,1,2,0
