key,v1,name,flag_raw,flag_byte,v2,v3
1,1,Soso,0,0,26,-1
2,2,Anmonera,0,0,26,-1
3,3,Marsh,0,0,26,-1
4,4,Teddy,0,0,26,-1
5,5,Bobokan,0,0,26,-1
6,6,Wild Woodherian,0,0,26,-1
7,7,Ratchu,0,0,26,-1
8,15,Bookshelf Leg No. 3,0,0,26,-1
9,16,Mecha Dorothy No. 3,1,1,26,-1
1001,16,Mecha Dorothy No. 3,1,1,26,-1
10,51,Dorothy,0,0,26,-1
11,1,Soso,0,0,87,-1
12,8,Geto,0,0,87,-1
13,9,Monera,0,0,87,-1
14,10,Wood,0,0,87,-1
15,11,Baraus,0,0,87,-1
16,12,High Baraus,0,0,87,-1
17,13,Great Baraus,0,0,87,-1
1002,13,Great Baraus,0,0,87,-1
45,13,Great Baraus,1,1,87,-1
1009,13,Great Baraus,1,1,87,-1
18,17,Warguma,0,0,52,-1
19,18,Dwarguma,0,0,52,-1
21,20,Homekeeper mk-2,0,0,52,-1
20,19,Henkuma,1,1,52,-1
1005,19,Henkuma,1,1,52,-1
23,22,Karte,0,0,52,-1
24,23,Chart,0,0,52,-1
22,21,Stefano,1,1,52,-1
1003,21,Stefano,1,1,52,-1
26,7,Ratchu,0,0,52,-1
27,5,Bobokan,0,0,52,-1
25,24,Bianca,1,1,52,-1
1004,24,Bianca,1,1,52,-1
28,5,Bobokan,0,0,69,-1
29,20,Homekeeper mk-2,0,0,69,-1
30,21,Stefano,1,1,69,-1
1006,21,Stefano,1,1,69,-1
32,23,Chart,0,0,69,-1
33,22,Karte,0,0,69,-1
34,18,Dwarguma,0,0,69,-1
31,24,Bianca,1,1,69,-1
1007,24,Bianca,1,1,69,-1
36,17,Warguma,0,0,69,-1
35,19,Henkuma,1,1,69,-1
1008,19,Henkuma,1,1,69,-1
37,1,Soso,0,0,1,-1
9037,148,Giant Soso,2,2,1,-1
38,7,Ratchu,0,0,5,-1
9038,149,Giant Marsh,2,2,5,-1
39,11,Baraus,0,0,46,-1
40,10,Wood,0,0,46,-1
46,8,Geto,0,0,46,-1
47,12,High Baraus,0,0,46,-1
9039,149,Giant Marsh,2,2,46,-1
41,51,Dorothy,0,0,36,-1
42,3,Marsh,0,0,36,-1
43,2,Anmonera,0,0,36,-1
