key,v1,v2,target
1,2,33,108
4,1,119,48
5,1,67,101
6,26,41,106
7,26,50,117
8,2,83,124
10,26,103,99
11,2,48,123
12,3,69,110
13,3,49,127
15,27,77,64
33,26,104,62
34,1,93,103
35,25,82,125
36,1,81,78
37,24,89,116
38,1,113,109
39,2,68,113
40,2,113,132
41,27,99,58
42,27,115,60
166,25,54,125
178,27,106,61
324,27,60,64
365,1,75,54
27,90,83,194
167,93,27,40
169,90,74,158
170,90,59,103
171,90,120,167
172,92,35,39
173,92,80,24
174,91,112,124
175,91,191,72
176,91,162,79
177,162,86,58
179,164,35,52
180,164,42,54
199,166,21,61
200,217,59,62
325,162,43,61
366,90,124,135
557,90,189,185
10001,1,63,96
10002,2,44,121
10003,24,89,116
10004,3,67,107
10101,1,37,44
10102,1,109,101
10103,1,75,54
10201,27,68,85
10202,27,103,59
10203,27,54,62
10204,27,52,85
10301,25,87,115
10302,25,55,125
10401,2,27,88
10402,2,31,115
10403,2,105,116
10404,2,27,99
10501,3,97,116
10601,24,31,115
10602,24,94,123
10701,26,49,110
10702,26,62,89
10703,26,51,67
10704,26,102,86
10705,26,45,102
10706,26,30,88
10801,272,57,86
10802,272,57,77
10803,272,57,68
20001,90,111,166
20002,92,36,38
20003,91,111,121
20004,91,164,78
20101,90,91,151
20102,90,167,138
20103,90,125,133
20104,90,200,149
20105,90,44,105
20201,162,58,84
20202,162,91,60
20203,162,42,84
20401,92,21,61
20402,92,29,30
20403,92,67,45
20501,93,21,54
20502,93,27,41
20601,94,70,42
20701,165,48,48
20702,93,72,65
20703,166,18,62
20704,217,55,61
20901,91,120,125
20902,91,174,76
20903,91,214,91
20904,90,168,203
21001,164,40,46
21101,273,58,86
21102,273,58,77
21103,273,58,68
21201,424,35,75
