hunt_id,monster_type
1,71
1,72
1,79
2,1
2,2
3,4
3,5
4,6
4,7
4,8
5,9
5,10
5,11
6,12
6,13
6,14
7,15
7,16
8,18
8,20
9,21
9,22
10,23
10,25
11,26
11,28
12,30
12,31
13,33
13,34
14,81
14,82
14,89
15,36
15,37
15,45
16,41
16,42
16,43
17,38
17,48
17,49
18,50
18,51
18,53
19,54
19,55
19,60
20,57
20,58
20,59
21,61
21,62
21,63
22,64
22,65
22,66
23,67
23,68
23,69
24,110
24,111
25,112
25,113
25,114
26,115
26,116
27,117
27,118
27,119
28,120
28,121
29,122
29,123
29,124
30,125
30,126
31,127
31,128
31,129
32,130
32,131
33,132
33,133
33,134
34,135
34,136
35,137
35,138
35,139
36,140
36,141
37,142
37,143
37,144
38,145
38,146
39,147
39,148
40,149
40,150
40,151
41,164
41,165
41,152
42,166
42,167
42,168
43,169
43,170
43,171
44,172
44,173
44,174
45,175
45,176
45,177
46,178
46,179
46,180
47,181
47,182
47,183
48,184
48,185
48,186
49,187
49,188
49,189
51,239
52,240
50,241
50,242
50,243
51,244
51,245
52,246
52,19
1,190
2,191
3,192
4,193
5,194
6,195
7,196
8,197
9,198
10,199
11,200
12,201
13,202
14,203
15,204
16,205
17,206
18,207
19,208
20,209
21,210
22,211
23,212
24,213
25,214
26,215
27,216
28,217
29,218
30,219
31,220
32,221
33,222
34,223
35,224
36,225
37,226
38,227
39,228
40,229
41,230
42,231
43,232
44,233
45,234
46,235
47,236
48,237
49,238
