effect_id,name
1100,Calorie Increase
1200,Infinite Calories
2100,Create Secret Room
2200,Toll-Free 119
2300,Weapon Enhancement Insurance
2400,Special Enhancement Guidebook
4100,Use Name Tag
4110,Name Tag Backing
4200,Use Placard
4210,Change Placard Design
4300,Change Title
5100,Firecracker
5200,Flower Confetti
6100,Memory Chip
6200,Locker
6300,Phone Function
10001,Uniform Item
6201,Locker 2
6202,Locker 3
6203,Locker 4
6204,Locker 5
6205,Locker 6
7000,Increased EXP Gain
7100,Increased Damage to Enemies
7200,Reduced Damage Taken
7300,Increased Accuracy
7400,Increased Evasion
7500,Increased Critical Rate
8000,Yogurt
