id0,id1,v0,v1
2401,1,4,0
2402,2,4,0
2403,3,4,0
2404,4,4,0
2405,5,4,0
2406,6,4,0
2411,1,5,0
2412,2,5,0
2413,3,5,0
2414,4,5,0
2415,5,5,0
2416,6,5,0
2471,1,4,1
2471,1,5,1
2471,1,6,1
2471,1,7,1
2471,1,8,1
2471,1,9,1
2471,1,10,1
2472,2,4,1
2472,2,5,1
2472,2,6,1
2472,2,7,1
2472,2,8,1
2472,2,9,1
2472,2,10,1
2473,3,4,1
2473,3,5,1
2473,3,6,1
2473,3,7,1
2473,3,8,1
2473,3,9,1
2473,3,10,1
2474,4,4,1
2474,4,5,1
2474,4,6,1
2474,4,7,1
2474,4,8,1
2474,4,9,1
2474,4,10,1
2475,5,4,1
2475,5,5,1
2475,5,6,1
2475,5,7,1
2475,5,8,1
2475,5,9,1
2475,5,10,1
2481,1,4,2
2481,1,5,2
2481,1,6,2
2481,1,7,2
2481,1,8,2
2481,1,9,2
2481,1,10,2
2482,2,4,2
2482,2,5,2
2482,2,6,2
2482,2,7,2
2482,2,8,2
2482,2,9,2
2482,2,10,2
2483,3,4,2
2483,3,5,2
2483,3,6,2
2483,3,7,2
2483,3,8,2
2483,3,9,2
2483,3,10,2
2484,4,4,2
2484,4,5,2
2484,4,6,2
2484,4,7,2
2484,4,8,2
2484,4,9,2
2484,4,10,2
2485,5,4,2
2485,5,5,2
2485,5,6,2
2485,5,7,2
2485,5,8,2
2485,5,9,2
2485,5,10,2
2491,1,4,0
2491,1,5,0
2491,1,6,0
2491,1,7,0
2491,1,8,0
2491,1,9,0
2491,1,10,0
2492,2,4,0
2492,2,5,0
2492,2,6,0
2492,2,7,0
2492,2,8,0
2492,2,9,0
2492,2,10,0
2493,3,4,0
2493,3,5,0
2493,3,6,0
2493,3,7,0
2493,3,8,0
2493,3,9,0
2493,3,10,0
2494,4,4,0
2494,4,5,0
2494,4,6,0
2494,4,7,0
2494,4,8,0
2494,4,9,0
2494,4,10,0
2495,5,4,0
2495,5,5,0
2495,5,6,0
2495,5,7,0
2495,5,8,0
2495,5,9,0
2495,5,10,0
2501,1,4,0
2501,1,5,0
2501,1,6,0
2501,1,7,0
2501,1,8,0
2501,1,9,0
2501,1,10,0
2502,2,4,0
2502,2,5,0
2502,2,6,0
2502,2,7,0
2502,2,8,0
2502,2,9,0
2502,2,10,0
2503,3,4,0
2503,3,5,0
2503,3,6,0
2503,3,7,0
2503,3,8,0
2503,3,9,0
2503,3,10,0
2504,4,4,0
2504,4,5,0
2504,4,6,0
2504,4,7,0
2504,4,8,0
2504,4,9,0
2504,4,10,0
2505,5,4,0
2505,5,5,0
2505,5,6,0
2505,5,7,0
2505,5,8,0
2505,5,9,0
2505,5,10,0
