item_id,icon_code
10001,DA010001
10003,DA010003
10007,DA010007
10028,DA010028
10030,DA010030
10090,DA010090
10168,DA010168
10180,DA010180
10365,DA010365
11001,DA011001
11002,DA011002
11003,DA011003
11004,DA011004
12001,DA012001
12003,DA012003
12006,DA012006
13001,DA013001
20001,DA020001
20003,DA020003
20007,DA020007
20028,DA020028
20030,DA020030
20090,DA020090
20168,DA020168
20180,DA020180
20365,DA020365
21001,DA021001
21002,DA021002
21003,DA021003
21004,DA021004
22001,DA022001
22003,DA022003
22006,DA022006
23001,DA023001
