item_id,code,name,desc1,desc2,p0,p1,p2
1,PD000001,Gift Shop Points,You can gift SP to a friend.,For celebrating with friends!,0,0,0
20,PD002100,Create Secret Room 1-Day Pass,"For 1 day, you can play episodes in a private room that only invited friends can enter.",Together with friends!!,0,0,20001
21,PD002100,Create Secret Room 3-Day Pass,"For 3 days, you can play episodes in a private room that only invited friends can enter.",Together with friends!!,0,0,20003
22,PD002100,Create Secret Room 7-Day Pass,"For 7 days, you can play episodes in a private room that only invited friends can enter.",Together with friends!!,0,0,20007
23,PD002100,Secret Lock,"For 30 days, you can play episodes in a private room that only invited friends can enter.",Together with friends!!,0,0,20030
24,PD004500,Use Placard 1-Day Pass,"When used, you can hold a placard with any text you like above your head for 1 day.",The Voice of Youth!,0,0,20001
25,PD004500,Use Placard 3-Day Pass,"When used, you can hold a placard with any text you like above your head for 3 days.",The Voice of Youth!,0,0,20003
26,PD004500,Use Placard 7-Day Pass,"When used, you can hold a placard with any text you like above your head for 7 days.",The Voice of Youth!,0,0,20007
27,PD004500,Placard,"When used, you can hold a placard with any text you like above your head for 30 days.",The Voice of Youth!,0,0,20030
28,PD004100,Use Name Tag 1-Day Pass,"When used, you can wear a name tag showing your name and club name for 1 day.",Show off your club!,0,0,20001
29,PD004100,Use Name Tag 3-Day Pass,"When used, you can wear a name tag showing your name and club name for 3 days.",Show off your club!,0,0,20003
30,PD004100,Use Name Tag 7-Day Pass,"When used, you can wear a name tag showing your name and club name for 7 days.",Show off your club!,0,0,20007
31,PD004100,Name Tag,"When used, you can wear a name tag showing your name and club name for 30 days.",Show off your club!,0,0,20030
32,PD004100,Use Name Tag 168-Day Pass,"When used, you can wear a name tag showing your name and club name for 168 days.",Show off your club!,0,0,20090
33,PD004100,Use Name Tag 365-Day Pass,"When used, you can wear a name tag showing your name and club name for 365 days.",Show off your club!,0,0,20365
34,PD009100,3-Type Set 7 Days,"Set Series Part 1! You can use Placard, Name Tag, and Create Secret Room for 3 days.",Best-Selling Item Set,0,0,20003
35,PD009100,3-Type Set 7-Day Pass,"Set Series Part 1! You can use Placard, Name Tag, and Create Secret Room for 7 days.",Best-Selling Item Set,0,0,20007
36,PD009100,3-Type Set 28-Day Pass,"Set Series Part 1! You can use Placard, Name Tag, and Create Secret Room for 28 days.",Best-Selling Item Set,0,0,20030
37,PD004201,Red Name Tag Backing 1-Use Ticke,Changes the name tag color to red.,Show your personality with your image color!,0,0,0
38,PD004202,Orange Name Tag Backing 1-Use Ti,Changes the name tag color to orange.,Show your personality with your image color!,0,0,0
39,PD004203,Yellow Name Tag Backing 1-Use Ti,Changes the name tag color to yellow.,Show your personality with your image color!,0,0,0
40,PD004204,Green Name Tag Backing 1-Use Tic,Changes the name tag color to green.,Show your personality with your image color!,0,0,0
41,PD004205,Blue Name Tag Backing 1-Use Tick,Changes the name tag color to blue.,Show your personality with your image color!,0,0,0
42,PD004206,Indigo Name Tag Backing 1-Use Ti,Changes the name tag color to indigo.,Show your personality with your image color!,0,0,0
43,PD004207,Purple Name Tag Backing 1-Use Ti,Changes the name tag color to purple.,Show your personality with your image color!,0,0,0
44,PD004208,Name Tag Backing Set,"You can choose and change the name tag color from 7 colors: red, orange, yellow, green, blue, indigo, and purple.",This is my image color!,0,0,0
45,PD004300,Change Title 1-Day Pass,"For 1 day, you can freely change your title.",Freely switch between titles!,0,0,20001
46,PD004300,Change Title 3-Day Pass,"For 3 days, you can freely change your title.",Freely switch between titles!,0,0,20003
47,PD004300,Change Title 7 Days,"For 7 days, you can freely change your title.",Freely switch between titles!,0,0,20007
48,PD004300,Freely Change Title,"For 30 days, you can freely change your title (forced titles are excluded).",Freely switch between titles!,0,0,20030
49,PD004300,Change Title 3-Month Pass,"For 3 months, you can freely change your title.",Freely switch between titles!,0,0,20090
50,PD004300,Change Title 6-Month Pass,"For 6 months, you can freely change your title.",Freely switch between titles!,0,0,20180
51,PD004300,Change Title 1-Year Pass,"For 1 year, you can freely change your title.",Freely switch between titles!,0,0,20365
52,PD006100,Memory Chip 7 Days,"For 3 days, you can increase your friend list limit to 50 people.",Aim for 50 friends!,0,0,20003
53,PD006100,Memory Chip 7 Days,"For 7 days, you can increase your friend list limit to 50 people.",Aim for 50 friends!,0,0,20007
54,PD006100,Memory Chip,"For 30 days, you can increase your friend list limit to 50 people.",Aim for 50 friends!,0,0,20030
55,PD006100,Memory Chip 3-Month Pass,"For 3 months, you can increase your friend list limit to 50 people.",Aim for 50 friends!,0,0,20090
56,PD006100,Memory Chip 6-Month Pass,"For 6 months, you can increase your friend list limit to 50 people.",Aim for 50 friends!,0,0,20180
57,PD006100,Memory Chip 1-Year Pass,"For 1 year, you can increase your friend list limit to 50 people.",Aim for 50 friends!,0,0,20365
58,PD002401,+4 Enhancement Formula (Year 1),+4 weapon enhancement formula series with 100% success rate (for Year 1 weapons only),Safe and reliable weapon enhancement!,0,0,0
59,PD002402,+4 Enhancement Formula (Year 2),+4 weapon enhancement formula series with 100% success rate (for Year 2 weapons only),Safe and reliable weapon enhancement!,0,0,0
60,PD002403,+4 Enhancement Formula (Year 3),+4 weapon enhancement formula series with 100% success rate (for Year 3 weapons only),Safe and reliable weapon enhancement!,0,0,0
61,PD002404,+4 Enhancement Formula (Year 4),+4 weapon enhancement formula series with 100% success rate (for Year 4 weapons only),Safe and reliable weapon enhancement!,0,0,0
62,PD002411,+5 Enhancement Formula (Year 1),+5 weapon enhancement formula series with 100% success rate (for Year 1 weapons only),Safe and reliable weapon enhancement!,0,0,0
63,PD002412,+5 Enhancement Formula (Year 2),+5 weapon enhancement formula series with 100% success rate (for Year 2 weapons only),Safe and reliable weapon enhancement!,0,0,0
64,PD002413,+5 Enhancement Formula (Year 3),+5 weapon enhancement formula series with 100% success rate (for Year 3 weapons only),Safe and reliable weapon enhancement!,0,0,0
66,PD002414,+5 Enhancement Formula (Year 4),+5 weapon enhancement formula series with 100% success rate (for Year 4 weapons only),Safe and reliable weapon enhancement!,0,0,0
68,PD004300,Change Title 7 Days,"For 3 days, you can freely change your title.",Freely switch between titles!,0,0,20003
69,PD006200,Locker 7 Days,"For 7 days, you can use one additional locker.",A must-have for item collections!!,0,0,20007
70,PD006200,Locker Usage Pass,"For 30 days, you can use one additional locker.",A must-have for collecting items!!,0,0,20030
71,PD006200,Locker 3-Month Pass,"For 3 months, you can use one additional locker.",A must-have for item collections!!,0,0,20090
72,PD006200,Locker 6-Month Pass,"For 6 months, you can use one additional locker.",A must-have for item collections!!,0,0,20180
73,PD006200,Locker 1-Year Pass,"For 1 year, you can use one additional locker.",A must-have for item collections!!,0,0,20365
74,PD110250,Estiva Academy Male Student Chee,You can use the Estiva Academy male student cheer outfit set for 1 day.,Usable for 1 day,1,1,20001
75,PD110250,Estiva Academy Male Student Chee,You can use the Estiva Academy male student cheer outfit set for 3 days.,Usable for 3 days,1,1,20003
76,PD110250,Estiva Academy Male Student Chee,You can use the Estiva Academy male student cheer outfit set for 7 days.,Usable for 7 days,1,1,20007
77,PD110250,Estiva Academy Male Student Chee,You can use the Estiva Academy male student cheer outfit set for 30 days.,Usable for 30 days,1,1,20030
78,PD110250,Estiva Academy Male Student Chee,You can use the Estiva Academy male student cheer outfit set for 3 months.,Usable for 3 months,1,1,20090
79,PD110250,Estiva Academy Male Student Chee,You can use the Estiva Academy male student cheer outfit set for 6 months.,Usable for 6 months,1,1,20180
80,PD110250,Estiva Academy Male Student Chee,You can use the Estiva Academy male student cheer outfit set for 1 year.,Usable for 1 year,1,1,20365
81,PD120250,Estiva Academy Female Student Ch,You can use the Estiva Academy female student cheer outfit set for 1 day.,Usable for 1 day,2,1,20001
82,PD120250,Estiva Academy Female Student Ch,You can use the Estiva Academy female student cheer outfit set for 3 days.,Usable for 3 days,2,1,20003
83,PD120250,Estiva Academy Female Student Ch,You can use the Estiva Academy female student cheer outfit set for 7 days.,Usable for 7 days,2,1,20007
84,PD120250,Estiva Academy Female Student Ch,You can use the Estiva Academy female student cheer outfit set for 30 days.,Usable for 30 days,2,1,20030
85,PD120250,Estiva Academy Female Student Ch,You can use the Estiva Academy female student cheer outfit set for 3 months.,Usable for 3 months,2,1,20090
86,PD120250,Estiva Academy Female Student Ch,You can use the Estiva Academy female student cheer outfit set for 6 months.,Usable for 6 months,2,1,20180
87,PD120250,Estiva Academy Female Student Ch,You can use the Estiva Academy female student cheer outfit set for 1 year.,Usable for 1 year,2,1,20365
88,PD210250,Yoizuki Academy Male Student Che,You can use the Yoizuki Academy male student cheer outfit set for 1 day.,Usable for 1 day,1,2,20001
89,PD210250,Yoizuki Academy Male Student Che,You can use the Yoizuki Academy male student cheer outfit set for 3 days.,Usable for 3 days,1,2,20003
90,PD210250,Yoizuki Academy Male Student Che,You can use the Yoizuki Academy male student cheer outfit set for 7 days.,Usable for 7 days,1,2,20007
91,PD210250,Yoizuki Academy Male Student Che,You can use the Yoizuki Academy male student cheer outfit set for 30 days.,Usable for 30 days,1,2,20030
92,PD210250,Yoizuki Academy Male Student Che,You can use the Yoizuki Academy male student cheer outfit set for 3 months.,Usable for 3 months,1,2,20090
93,PD210250,Yoizuki Academy Male Student Che,You can use the Yoizuki Academy male student cheer outfit set for 6 months.,Usable for 6 months,1,2,20180
94,PD210250,Yoizuki Academy Male Student Che,You can use the Yoizuki Academy male student cheer outfit set for 1 year.,Usable for 1 year,1,2,20365
95,PD220250,Yoizuki Academy Female Student C,You can use the Yoizuki Academy female student cheer outfit set for 1 day.,Usable for 1 day,2,2,20001
96,PD220250,Yoizuki Academy Female Student C,You can use the Yoizuki Academy female student cheer outfit set for 3 days.,Usable for 3 days,2,2,20003
97,PD220250,Yoizuki Academy Female Student C,You can use the Yoizuki Academy female student cheer outfit set for 7 days.,Usable for 7 days,2,2,20007
98,PD220250,Yoizuki Academy Female Student C,You can use the Yoizuki Academy female student cheer outfit set for 30 days.,Usable for 30 days,2,2,20030
99,PD220250,Yoizuki Academy Female Student C,You can use the Yoizuki Academy female student cheer outfit set for 3 months.,Usable for 3 months,2,2,20090
100,PD220250,Yoizuki Academy Female Student C,You can use the Yoizuki Academy female student cheer outfit set for 6 months.,Usable for 6 months,2,2,20180
101,PD220250,Yoizuki Academy Female Student C,You can use the Yoizuki Academy female student cheer outfit set for 1 year.,Usable for 1 year,2,2,20365
102,PD110310,Estiva Academy Male Student Tenn,You can use the Estiva Academy male student tennis wear set for 1 day.,Usable for 1 day,1,1,20001
103,PD110310,Estiva Academy Male Student Tenn,You can use the Estiva Academy male student tennis wear set for 3 days.,Usable for 3 days,1,1,20003
