index,lobby_id,name,desc
0,10001,ベン先生のそば,ベン先生のそば<br>(校舎 入口 西)
1,10002,リエズ先生のそば,リエズ先生のそば<br>(校舎 1階　職員室)
2,10003,グレイのそば,グレイのそば<br>(校舎 3階 東)
3,10004,ソムンヤン先生のそば,ソムンヤン先生のそば<br>(校舎 2階 中央)
4,10101,バスケットコート前,バスケットコート前<br>（グラウンド西）
5,10102,講堂裏,講堂裏<br>（グラウンド東）
6,10201,切符売り場,校門前 切符売り場<br>（校門前北西）
7,10202,正門前バス停,校門前 バス停留場<br>（校門前南東）
8,10203,正門前献血車,校門前 献血車<br>（校門前南西）
9,10301,校舎地下 修行部屋,校舎地下 修行部屋前<br>（校舎から地下に移動）
10,10401,校舎 1階 図書館,校舎 1階 図書館<br>（校舎 1階西）
11,10402,校舎 1階 職員室,校舎 1階 職員室<br>（校舎 1階西）
12,10403,校舎 1階 音楽室,校舎 1階 音楽室<br>（校舎 1階東）
13,10501,校舎 2階,校舎 2階 廊下<br>（校舎 2階東）
14,10601,校舎 3階 美術室,校舎 3階 美術室前<br>（校舎 3階西）
15,10701,温室前,裏庭 温室前<br>（裏庭階段の上）
16,10702,温室前,裏庭 温室前<br>（裏庭階段の上）
17,10703,裏庭 憩いの広場,裏庭 憩いの広場<br>（裏庭ベンチ前）
18,10704,裏庭 飼育場,裏庭 飼育場<br>（裏庭東）
19,10801,世界樹,世界樹
20,10802,世界樹,世界樹
21,10803,世界樹,世界樹
22,10804,世界樹,世界樹
23,10805,世界樹,世界樹
24,10806,世界樹,世界樹
25,10807,世界樹,世界樹
26,10808,世界樹,世界樹
27,20001,サム先生のそば,サム先生のそば<br>(校舎 入口 西)
28,20002,シンソヒョンのそば,シンソヒョンのそば<br>(校舎 1階 職員室)
29,20003,バーモント神父様のそば,バーモント神父様のそば<br>(グラウンド西の階段から移動)
30,20004,水蓮のそば,水蓮のそば<br>(グラウンド西の階段から移動)
31,20101,講堂前,講堂前<br>（グラウンド西）
32,20102,桜並木,桜並木<br>（グラウンド東）
33,20201,校門前 地下鉄駅,校門前 地下鉄駅<br>（校門前北西）
34,20202,校門前 バス停,校門前 バス停留所<br>（校門前東南）
35,20401,校舎 1階 西,校舎 1階 男子トイレ前<br>（校舎 1階西端）
36,20402,校舎 1階 職員室,校舎 1階 職員室<br>（校舎 1階西）
37,20403,校舎 1階 中央,校舎 1階 相談室前（校舎一階中央）
38,20501,校舎 2階,校舎 2階 女子トイレ前<br>（校舎 2階西）
39,20601,校舎 3階,校舎 3階 水道の隣<br>（校舎 3階東）
40,20701,旧校舎前庭,旧校舎前<br>（グラウンド東ワープポイントから移動）
41,20702,校舎 2階,校舎 2階 男子トイレ前<br>（校舎 2階東）
42,20703,旧校舎 1階 西の教室,旧校舎 1階 ホヤンのそば<br>（グラウンド東ワープポイントから移動）
43,20704,旧校舎 2階,旧校舎 2階 メイイェンのそば
44,20901,聖堂前庭,裏庭 聖堂前<br>（グラウンド西の階段から移動）
45,20902,墓地倉庫,裏庭 墓地倉庫<br>（グラウンド西の階段から移動）
46,20903,墓地裏門,裏庭 墓地裏門<br>（グラウンド西の階段から移動）
47,21001,オカルト研究部部室,オカルト研究部部室<br>（？？？？？）
48,21101,世界樹,世界樹
49,21102,世界樹,世界樹
50,21103,世界樹,世界樹
51,21104,世界樹,世界樹
52,21105,世界樹,世界樹
53,21106,世界樹,世界樹
54,21107,世界樹,世界樹
55,21108,世界樹,世界樹
56,9000,テスト EP000#,テスト EP000#
57,9001,テスト EP001#,テスト EP001#
58,9002,テスト EP002#,テスト EP002#
59,9003,テスト EP003#,テスト EP003#
60,9004,テスト EP004#,テスト EP004#
61,9005,テスト EP005#,テスト EP005#
62,9006,テスト EP006#,テスト EP006#
63,9007,テスト EP007#,テスト EP007#
64,9008,テスト EP008#,テスト EP008#
65,9009,テスト EP009#,テスト EP009#
66,9010,テスト EP010#,テスト EP010#
67,9011,テスト EP011#,テスト EP011#
68,9012,テスト EP012#,テスト EP012#
69,9013,テスト EP013#,テスト EP013#
70,9014,テスト EP014#,テスト EP014#
71,9015,テスト EP015#,テスト EP015#
72,9016,テスト EP016#,テスト EP016#
73,165,レベルチームテスト (GK),レベルチームテスト (GK)
74,9100,149~152 内部テスト用,149~152 内部テスト用
75,9110,153~158 内部テスト用,153~158 内部テスト用
76,9111,"155,156,159~164 内部テスト用","155,156,159~164 内部テスト用"
