index,v0,v1,v2,v3,v4,v5,v6,v7
0,101,4,10101,10102,10103,10104,0,0
1,102,4,10201,10202,10203,10204,0,0
2,103,4,10301,10302,10303,10304,0,0
3,104,4,10401,10402,10403,10404,0,0
4,301,4,30101,30102,30103,30104,0,0
5,302,4,30201,30202,30203,30204,0,0
6,303,4,30301,30302,30303,30304,0,0
7,304,4,30401,30402,30403,30404,0,0
8,501,4,50101,50102,50103,50104,0,0
9,502,4,50201,50202,50203,50204,0,0
10,503,4,50301,50302,50303,50304,0,0
11,504,4,50401,50402,50403,50404,0,0
12,505,4,50501,50502,50503,50504,0,0
13,506,4,50601,50602,50603,50604,0,0
14,701,4,70101,70102,70103,70104,0,0
15,702,4,70201,70202,70203,70204,0,0
16,703,4,70301,70302,70303,70304,0,0
