group_id,slot_index,text
10,0,（？）
10,1,(?)
10,2,??
10,3,뭐?
10,4,
10,5,
10,6,
10,7,
10,8,
10,9,
20,0,（のー）
20,1,/@0@\
20,2,(No)
20,3,(NO)
20,4,(nO)
20,5,(no)
20,6,오노
20,7,
20,8,
20,9,
30,0,（へえ）
30,1,호오
30,2,
30,3,
30,4,
30,5,
30,6,
30,7,
30,8,
30,9,
40,0,（なく）
40,1,T_T
40,2,ㅜ.ㅜ
40,3,ㅜ_ㅜ
40,4,ㅠ.ㅠ
40,5,ㅠ_ㅠ
40,6,ㅠㅠ
40,7,ㅜㅜ
40,8,흑흑
40,9,크흑
50,0,（ごごご）
50,1,--+
50,2,-_-+
50,3,빠직
50,4,으으
50,5,
50,6,
50,7,
50,8,
50,9,
60,0,（ぐす）
60,1,:'(
60,2,ㅜ.ㅡ
60,3,ㅡ.ㅜ
60,4,ㅜ.-
60,5,-.ㅜ
60,6,훌쩍
60,7,
60,8,
60,9,
70,0,（ぼー）
70,1,-o-
70,2,ㅡoㅡ
70,3,-0-
70,4,ㅡ0ㅡ
70,5,버엉
70,6,
70,7,
70,8,
70,9,
80,0,（ぐるぐる）
80,1,@.@
80,2,@_@
80,3,:S
80,4,:s
80,5,빙글빙글
80,6,
80,7,
80,8,
80,9,
90,0,（にゃあ）
90,1,-ω-
90,2,
90,3,
90,4,
90,5,
90,6,
90,7,
90,8,
90,9,
100,0,（うっとり）
100,1,*^^*
100,2,*-_-*
100,3,:$
100,4,아아
100,5,
100,6,
100,7,
100,8,
100,9,
110,0,（ＫＩＮ）
110,1,(KIN)
110,2,즐~
110,3,
110,4,
110,5,
110,6,
110,7,
110,8,
110,9,
120,0,（うるうる）
120,1,울먹
120,2,
120,3,
120,4,
120,5,
120,6,
120,7,
120,8,
120,9,
130,0,（ふーん）
130,1,=_=
130,2,그래?
130,3,=ㅁ=
130,4,
130,5,
130,6,
130,7,
130,8,
130,9,
150,0,（ぐったり）
150,1,퀭
150,2,
150,3,
150,4,
150,5,
150,6,
150,7,
150,8,
150,9,
160,0,（にひひ）
160,1,풉
160,2,
160,3,
160,4,
160,5,
160,6,
160,7,
160,8,
160,9,
170,0,（ろぼ）
170,1,구우
170,2,
170,3,
170,4,
170,5,
170,6,
170,7,
170,8,
170,9,
180,0,（＄）
180,1,$0$
180,2,$$
180,3,($)
180,4,돈!
180,5,
180,6,
180,7,
180,8,
180,9,
190,0,（じとー）
190,1,( -_-)
190,2,(-_- )
190,3,쳇
190,4,칫
190,5,
190,6,
190,7,
190,8,
190,9,
200,0,（X）
200,1,>ㅁ<
200,2,(X)
200,3,(><)
200,4,꿱
200,5,으악
200,6,
200,7,
200,8,
200,9,
210,0,（あはは）
210,1,^.^
210,2,^_^
210,3,:)
210,4,:-)
210,5,하하
210,6,^^
210,7,
210,8,
210,9,
220,0,（あせ）
220,1,-_-;
220,2,ㅡ.ㅡ;
220,3,--;
220,4,;;
220,5,^^;
220,6,;;
220,7,삐질
220,8,
220,9,
230,0,（むか）
230,1,:@
230,2,버럭
230,3,!!!
230,4,
230,5,
230,6,
230,7,
230,8,
230,9,
240,0,（はーと）
240,1,(L)
240,2,사랑
240,3,하트
240,4,
240,5,
240,6,
240,7,
240,8,
240,9,
250,0,（ぽっ）
250,1,///
250,2,-///-
250,3,화끈
250,4,발그레
250,5,
250,6,
250,7,
250,8,
250,9,
