emotion_id,name,value,group
10,male_emotion_M0010,4,1
20,male_emotion_M0020,4,1
30,male_emotion_M0030,4,1
40,male_emotion_M0040,4,1
50,male_emotion_M0050,4,1
60,male_emotion_M0060,4,1
70,male_emotion_M0070,4,1
80,male_emotion_M0080,4,1
90,male_emotion_M0090,4,1
100,male_emotion_M0100,4,1
110,male_emotion_M0110,4,1
120,male_emotion_M0120,4,1
130,male_emotion_M0130,4,1
140,male_emotion_M0140,4,1
150,male_emotion_M0150,4,1
160,male_emotion_M0160,4,1
170,male_emotion_M0170,4,1
180,male_emotion_M0180,4,1
190,male_emotion_M0190,4,1
200,male_emotion_M0200,4,1
210,male_emotion_M0210,4,1
220,male_emotion_M0220,4,1
230,male_emotion_M0230,4,1
240,male_emotion_M0240,4,1
250,male_emotion_M0250,4,1
10,female_emotion_F0010,4,2
20,female_emotion_F0020,4,2
30,female_emotion_F0030,4,2
40,female_emotion_F0040,4,2
50,female_emotion_F0050,4,2
60,female_emotion_F0060,4,2
70,female_emotion_F0070,4,2
80,female_emotion_F0080,4,2
90,female_emotion_F0090,4,2
100,female_emotion_F0100,4,2
110,female_emotion_F0110,4,2
120,female_emotion_F0120,4,2
130,female_emotion_F0130,4,2
140,female_emotion_F0140,4,2
150,female_emotion_F0150,4,2
160,female_emotion_F0160,4,2
170,female_emotion_F0170,4,2
180,female_emotion_F0180,4,2
190,female_emotion_F0190,4,2
200,female_emotion_F0200,4,2
210,female_emotion_F0210,4,2
220,female_emotion_F0220,4,2
230,female_emotion_F0230,4,2
240,female_emotion_F0240,4,2
250,female_emotion_F0250,4,2
