index,v0,v1,v2,v3,v4,v5,v6,v7,v8,v9
0,101,4294967295,4294967295,0,4,102,5,0,0,2201
1,102,4294967295,4294967295,0,4,103,5,0,0,2202
2,103,4294967295,4294967295,0,6,104,5,0,0,2203
3,104,4294967295,4294967295,0,10,105,5,0,0,2204
4,105,4294967295,4294967295,0,8,110,5,0,0,2205
5,110,4294967295,4294967295,0,8,106,5,0,0,2270
6,106,4294967295,4294967295,0,9,107,5,0,0,2206
7,107,4294967295,4294967295,0,8,108,5,0,0,2207
8,108,4294967295,4294967295,0,10,109,5,0,0,2208
9,109,4294967295,4294967295,0,7,0,5,0,0,2209
10,211,600,500,0,9,212,5,0,0,2210
11,212,600,500,0,6,213,3,0,0,2211
12,213,600,500,0,9,214,3,0,0,2212
13,214,600,500,0,3,216,3,0,0,2214
14,215,600,500,0,5,0,3,0,0,2213
15,216,600,500,0,10,0,4,0,0,2215
16,221,600,500,0,11,222,5,0,0,2216
17,222,600,500,0,7,223,4,0,0,2217
18,223,600,500,0,4,224,3,0,0,2218
19,224,600,500,0,6,225,3,0,0,2219
20,225,600,500,0,8,226,3,0,0,2220
21,226,600,500,0,9,227,3,0,0,2221
22,227,600,500,0,11,0,3,0,0,2222
23,231,600,500,0,8,0,5,0,0,2223
24,241,600,500,0,11,242,5,0,0,2224
25,242,600,500,0,7,243,4,0,0,2225
26,243,600,500,0,7,244,3,0,0,2226
27,244,600,500,0,4,245,3,0,0,2227
28,245,600,500,0,7,246,4,0,0,2228
29,246,600,500,0,7,247,3,0,0,2229
30,247,600,500,0,11,248,4,0,0,2230
31,248,600,500,0,10,0,3,0,0,2231
32,251,600,500,0,8,0,3,0,0,2232
33,301,4294967295,4294967295,0,7,0,4,0,0,2233
34,302,100,500,0,5,0,3,0,0,2234
35,303,150,150,0,5,0,2,0,0,2235
36,304,600,150,0,8,0,2,0,0,2236
37,311,4294967295,4294967295,0,10,0,4,0,0,2237
38,312,4294967295,4294967295,0,10,322,4,0,0,2238
39,321,4294967295,4294967295,0,11,0,4,0,0,2239
40,322,600,500,0,5,0,3,0,0,2240
41,323,600,500,0,7,0,3,0,0,2241
42,331,600,500,0,11,0,3,0,0,2242
43,341,600,500,0,6,342,3,0,0,2243
44,342,600,500,0,8,343,2,0,0,2244
45,343,600,500,0,8,344,2,0,0,2245
46,344,600,500,0,6,0,2,0,0,2246
47,345,600,500,0,7,0,3,0,0,2247
48,351,540,520,0,5,0,3,0,0,2248
49,401,900,600,0,11,402,2,0,0,2249
50,402,900,600,0,11,0,2,0,0,2250
51,403,900,600,0,6,0,5,0,0,2251
52,404,900,600,0,11,0,4,0,0,2252
53,405,900,600,0,9,0,2,0,0,2253
54,406,900,600,0,11,0,3,0,0,2254
55,411,900,600,0,5,412,5,0,0,2255
56,412,900,600,0,7,413,4,0,0,2256
57,413,900,600,0,6,0,4,0,0,2257
58,501,4294967295,4294967295,0,4,501,1,0,0,2258
59,502,4294967295,4294967295,0,11,0,1,0,0,2259
60,511,160,100,0,8,0,2,0,0,2260
61,512,160,100,0,10,0,2,0,0,2261
62,513,4294967295,4294967295,0,11,0,3,0,0,2262
63,514,4294967295,4294967295,0,13,0,5,0,0,2263
64,521,4294967295,4294967295,0,11,522,4,0,0,2264
65,522,4294967295,4294967295,0,11,0,4,0,0,2265
66,531,700,500,0,11,0,2,0,0,2266
67,532,700,500,0,12,0,4,0,0,2267
68,541,4294967295,4294967295,0,11,0,3,0,0,2268
69,551,4294967295,4294967295,0,12,0,3,0,0,2269
