idx,v0,v1,v2,v3,v4
0,166,0,8100,1001,8101
1,166,0,8100,1101,8111
2,166,0,8100,1102,8112
3,166,0,8100,1103,8113
4,166,0,8100,1201,8121
5,166,0,8100,1202,8122
6,166,0,8100,1203,8123
7,166,0,8100,1301,8131
8,166,0,8100,1401,8141
9,166,0,8100,1402,8142
10,166,0,8100,1403,8143
11,166,0,8100,1404,8144
12,166,0,8100,1405,8145
13,166,0,8100,1406,8146
14,166,0,8100,1407,8147
15,166,0,8100,1408,8148
16,166,0,8100,1501,8151
17,166,0,8100,1502,8152
18,166,0,8100,1503,8153
19,166,0,8100,1504,8154
20,166,0,8100,1505,8155
21,166,0,8100,1506,8156
22,166,0,8100,1601,8161
23,166,0,8100,1602,8162
24,166,0,8100,1603,8163
25,166,0,8100,1604,8164
26,166,0,8100,1701,8171
27,166,0,8100,1702,8172
28,166,0,8100,1703,8173
29,166,0,8200,2001,8201
30,166,0,8200,2101,8211
31,166,0,8200,2102,8212
32,166,0,8200,2103,8213
33,166,0,8200,2104,8214
34,166,0,8200,2105,8215
35,166,0,8200,2201,8221
36,166,0,8200,2202,8222
37,166,0,8200,2203,8223
38,166,0,8200,2301,8231
39,166,0,8200,2302,8232
40,166,0,8200,2501,8251
41,166,0,8200,2502,8252
42,166,0,8200,2503,8253
43,166,0,8200,2504,8254
44,166,0,8200,2601,8261
45,166,0,8200,2602,8262
46,166,0,8200,2701,8271
47,166,0,8200,2702,8272
48,166,0,8200,2703,8273
49,166,0,8300,3001,8301
50,166,0,8300,3101,8311
51,166,0,8300,3102,8312
52,166,0,8300,3103,8313
53,166,0,8300,3104,8314
54,166,0,8300,3105,8315
55,166,0,8300,3201,8321
56,166,0,8300,3202,8322
57,166,0,8300,3203,8323
58,166,0,8300,3301,8331
59,166,0,8300,3302,8332
60,166,0,8300,3501,8351
61,166,0,8300,3502,8352
62,166,0,8300,3503,8353
63,166,0,8300,3504,8354
64,166,0,8300,3601,8361
65,166,0,8300,3701,8371
66,166,0,8300,3702,8372
67,166,0,8300,3703,8373
68,167,0,8100,1001,8101
69,167,0,8100,1101,8111
70,167,0,8100,1102,8112
71,167,0,8100,1103,8113
72,167,0,8100,1201,8121
73,167,0,8100,1202,8122
74,167,0,8100,1203,8123
75,167,0,8100,1301,8131
76,167,0,8100,1401,8141
77,167,0,8100,1402,8142
78,167,0,8100,1403,8143
79,167,0,8100,1404,8144
80,167,0,8100,1405,8145
81,167,0,8100,1406,8146
82,167,0,8100,1407,8147
83,167,0,8100,1408,8148
84,167,0,8100,1501,8151
85,167,0,8100,1502,8152
86,167,0,8100,1503,8153
87,167,0,8100,1504,8154
88,167,0,8100,1505,8155
89,167,0,8100,1506,8156
90,167,0,8100,1601,8161
91,167,0,8100,1602,8162
92,167,0,8100,1603,8163
93,167,0,8100,1604,8164
94,167,0,8100,1701,8171
95,167,0,8100,1702,8172
96,167,0,8100,1703,8173
97,167,0,8200,2001,8201
98,167,0,8200,2101,8211
99,167,0,8200,2102,8212
100,167,0,8200,2103,8213
101,167,0,8200,2104,8214
102,167,0,8200,2105,8215
103,167,0,8200,2201,8221
104,167,0,8200,2202,8222
105,167,0,8200,2203,8223
106,167,0,8200,2301,8231
107,167,0,8200,2302,8232
108,167,0,8200,2501,8251
109,167,0,8200,2502,8252
110,167,0,8200,2503,8253
111,167,0,8200,2504,8254
112,167,0,8200,2601,8261
113,167,0,8200,2602,8262
114,167,0,8200,2701,8271
115,167,0,8200,2702,8272
116,167,0,8200,2703,8273
117,167,0,8300,3001,8301
118,167,0,8300,3101,8311
119,167,0,8300,3102,8312
120,167,0,8300,3103,8313
121,167,0,8300,3104,8314
122,167,0,8300,3105,8315
123,167,0,8300,3201,8321
124,167,0,8300,3202,8322
125,167,0,8300,3203,8323
126,167,0,8300,3301,8331
127,167,0,8300,3302,8332
128,167,0,8300,3501,8351
129,167,0,8300,3502,8352
130,167,0,8300,3503,8353
131,167,0,8300,3504,8354
132,167,0,8300,3601,8361
133,167,0,8300,3701,8371
134,167,0,8300,3702,8372
135,167,0,8300,3703,8373
136,166,0,8000,101,1410
137,166,0,8000,102,1411
138,166,0,8000,103,1412
139,166,0,8000,104,1413
140,166,0,8000,105,1414
141,166,0,8000,106,1415
142,166,0,8000,107,1416
143,166,0,8000,108,1417
144,166,0,8000,109,1418
145,166,0,8000,110,1419
146,166,0,8000,111,1420
147,166,0,8000,112,1421
148,166,0,8000,113,1422
149,167,0,8000,101,1410
150,167,0,8000,102,1411
151,167,0,8000,103,1412
152,167,0,8000,104,1413
153,167,0,8000,105,1414
154,167,0,8000,106,1415
155,167,0,8000,107,1416
156,167,0,8000,108,1417
157,167,0,8000,109,1418
158,167,0,8000,110,1419
159,167,0,8000,111,1420
160,167,0,8000,112,1421
161,167,0,8000,113,1422
162,10,0,7100,1001,7106
163,10,0,7100,1101,7107
164,10,0,7100,1102,7108
165,10,0,7100,1201,7109
166,10,0,7100,1301,7110
167,10,0,7100,1302,7111
168,10,0,7100,1303,7112
169,557,0,7100,1001,7120
170,557,0,7100,1101,7121
171,557,0,7100,1102,7122
172,557,0,7100,1201,7123
173,557,0,7100,1301,7124
174,557,0,7100,1302,7125
175,557,0,7100,1303,7126
176,40,0,7100,1001,7113
177,40,0,7100,1101,7114
178,40,0,7100,1102,7115
179,40,0,7100,1201,7116
180,40,0,7100,1301,7117
181,40,0,7100,1302,7118
182,40,0,7100,1303,7119
183,174,0,7100,1001,7127
184,174,0,7100,1101,7128
185,174,0,7100,1102,7129
186,174,0,7100,1201,7130
187,174,0,7100,1301,7131
188,174,0,7100,1302,7132
189,174,0,7100,1303,7133
190,4,0,6100,1001,1256
191,4,0,6100,1101,1257
192,4,0,6100,1102,1258
193,4,0,6100,1103,1259
194,4,0,6100,1104,1260
195,4,0,6100,1201,1261
196,4,0,6100,1202,1262
197,4,0,6100,1203,1263
198,4,0,6100,1301,1264
199,4,0,6100,1302,1265
200,4,0,6100,1303,1266
201,4,0,6100,1304,1267
202,4,0,6200,1001,1305
203,4,0,6200,1101,1306
204,4,0,6200,1102,1307
205,4,0,6200,1103,1308
206,4,0,6200,1104,1309
207,4,0,6200,1201,1310
208,4,0,6200,1202,1311
209,4,0,6200,1203,1312
210,4,0,6200,1301,1313
211,27,0,6100,1001,1256
212,27,0,6100,1101,1257
213,27,0,6100,1102,1258
214,27,0,6100,1103,1259
215,27,0,6100,1104,1260
216,27,0,6100,1201,1261
217,27,0,6100,1202,1262
218,27,0,6100,1203,1263
219,27,0,6100,1301,1264
220,27,0,6100,1302,1265
221,27,0,6100,1303,1266
222,27,0,6100,1304,1267
223,27,0,6200,1001,1305
224,27,0,6200,1101,1306
225,27,0,6200,1102,1307
226,27,0,6200,1103,1308
227,27,0,6200,1104,1309
228,27,0,6200,1201,1310
229,27,0,6200,1202,1311
230,27,0,6200,1203,1312
231,27,0,6200,1301,1313
232,433,0,6100,1001,1256
233,433,0,6100,1101,1257
234,433,0,6100,1102,1258
235,433,0,6100,1103,1259
236,433,0,6100,1104,1260
237,433,0,6100,1201,1261
238,433,0,6100,1202,1262
239,433,0,6100,1203,1263
240,433,0,6100,1301,1264
241,433,0,6100,1302,1265
242,433,0,6100,1303,1266
243,433,0,6100,1304,1267
244,433,0,6200,1001,1305
245,433,0,6200,1101,1306
246,433,0,6200,1102,1307
247,433,0,6200,1103,1308
248,433,0,6200,1104,1309
249,433,0,6200,1201,1310
250,433,0,6200,1202,1311
251,433,0,6200,1203,1312
252,433,0,6200,1301,1313
253,434,0,6100,1001,1256
254,434,0,6100,1101,1257
255,434,0,6100,1102,1258
256,434,0,6100,1103,1259
257,434,0,6100,1104,1260
258,434,0,6100,1201,1261
259,434,0,6100,1202,1262
260,434,0,6100,1203,1263
261,434,0,6100,1301,1264
262,434,0,6100,1302,1265
263,434,0,6100,1303,1266
264,434,0,6100,1304,1267
265,434,0,6200,1001,1305
266,434,0,6200,1101,1306
267,434,0,6200,1102,1307
268,434,0,6200,1103,1308
269,434,0,6200,1104,1309
270,434,0,6200,1201,1310
271,434,0,6200,1202,1311
272,434,0,6200,1203,1312
273,434,0,6200,1301,1313
274,7001,0,6100,1001,1256
275,7001,0,6100,1101,1257
276,7001,0,6100,1102,1258
277,7001,0,6100,1103,1259
278,7001,0,6100,1104,1260
279,7001,0,6100,1201,1261
280,7001,0,6100,1202,1262
281,7001,0,6100,1203,1263
282,7001,0,6100,1301,1264
283,7001,0,6100,1302,1265
284,7001,0,6100,1303,1266
285,7001,0,6100,1304,1267
286,7001,0,6200,1001,1305
287,7001,0,6200,1101,1306
288,7001,0,6200,1102,1307
289,7001,0,6200,1103,1308
290,7001,0,6200,1104,1309
291,7001,0,6200,1201,1310
292,7001,0,6200,1202,1311
293,7001,0,6200,1203,1312
294,7001,0,6200,1301,1313
295,7002,0,6100,1001,1256
296,7002,0,6100,1101,1257
297,7002,0,6100,1102,1258
298,7002,0,6100,1103,1259
299,7002,0,6100,1104,1260
300,7002,0,6100,1201,1261
301,7002,0,6100,1202,1262
302,7002,0,6100,1203,1263
303,7002,0,6100,1301,1264
304,7002,0,6100,1302,1265
305,7002,0,6100,1303,1266
306,7002,0,6100,1304,1267
307,7002,0,6200,1001,1305
308,7002,0,6200,1101,1306
309,7002,0,6200,1102,1307
310,7002,0,6200,1103,1308
311,7002,0,6200,1104,1309
312,7002,0,6200,1201,1310
313,7002,0,6200,1202,1311
314,7002,0,6200,1203,1312
315,7002,0,6200,1301,1313
316,4,0,6300,1001,1459
317,4,0,6300,1101,1453
318,4,0,6300,1102,1454
319,4,0,6300,1103,1457
320,4,0,6300,1104,1458
321,4,0,6300,1201,1460
322,4,0,6300,1202,1455
323,4,0,6300,1203,1456
