index,code,v0
0,blade_A0001,0
1,blade_A0002,0
2,blade_A0003,0
3,blade_A0004,0
4,blade_A0005,0
5,blade_A0006,0
6,blade_A0007,0
7,blade_A0008,0
8,blade_A0009,0
9,blade_A0010,0
10,blade_A0011,610011
11,blade_A0012,0
12,blade_A0013,0
13,blade_A0014,0
14,blade_A0015,610015
15,blade_A0016,0
16,blade_A0017,0
17,blade_A0018,610018
18,blade_A0019,610019
19,blade_A0020,610020
20,blade_A0021,0
21,blade_A0022,610022
22,blade_A0023,610023
23,blade_A0024,610024
24,blade_A1001,0
25,blade_A1002,0
26,blade_A1003,0
27,blade_A1004,0
28,blade_A1005,0
29,blade_A1006,0
30,blade_A1007,0
31,blade_A1008,0
32,blade_A1009,0
33,blade_A1010,0
34,blade_A1011,611011
35,blade_A1012,0
36,blade_A1013,0
37,blade_A1014,0
38,blade_A1015,611015
39,blade_A1016,0
40,blade_A1017,0
41,blade_A1018,0
42,blade_A1019,611019
43,blade_A1020,0
44,blade_A1021,0
45,blade_A1022,611022
46,blade_A1023,0
47,blade_A1024,0
48,glorb_A0001,0
49,glorb_A0002,620002
50,glorb_A0003,0
51,glorb_A0004,0
52,glorb_A0005,620005
53,glorb_A0006,0
54,glorb_A0007,620007
55,glorb_A0008,0
56,glorb_A0009,0
57,glorb_A0010,0
58,glorb_A0011,0
59,glorb_A0012,0
60,glorb_A0013,620013
61,glorb_A0014,0
62,glorb_A0015,0
63,glorb_A0016,0
64,glorb_A0017,0
65,glorb_A0018,620018
66,glorb_A0019,620019
67,glorb_A0020,0
68,glorb_A0021,620021
69,glorb_A0022,0
70,glorb_A0023,0
71,glorb_A0024,0
72,glorb_A1001,0
73,glorb_A1002,621002
74,glorb_A1003,0
75,glorb_A1004,0
76,glorb_A1005,621005
77,glorb_A1006,0
78,glorb_A1007,621007
79,glorb_A1008,0
80,glorb_A1009,0
81,glorb_A1010,0
82,glorb_A1011,0
83,glorb_A1012,0
84,glorb_A1013,621013
85,glorb_A1014,0
86,glorb_A1015,0
87,glorb_A1016,0
88,glorb_A1017,0
89,glorb_A1018,0
90,glorb_A1019,621019
91,glorb_A1020,0
92,glorb_A1021,621021
93,glorb_A1022,0
94,glorb_A1023,0
95,glorb_A1024,0
96,mura_A0001,0
97,mura_A0002,0
98,mura_A0003,0
99,mura_A0004,630004
100,mura_A0005,630005
101,mura_A0006,630006
102,mura_A0007,630007
103,mura_A0008,0
104,mura_A0009,630009
105,mura_A0010,630010
106,mura_A0011,630011
107,mura_A0012,630012
108,mura_A0013,0
109,mura_A0014,0
110,mura_A0015,0
111,mura_A0016,0
112,mura_A0017,630017
113,mura_A0018,0
114,mura_A0019,630019
115,mura_A0020,630020
116,mura_A0021,630021
117,mura_A0022,0
118,mura_A0023,630023
119,mura_A0024,630024
120,mura_A0025,630025
121,mura_A1001,0
122,mura_A1002,0
123,mura_A1003,0
124,mura_A1004,631004
125,mura_A1005,631005
126,mura_A1006,631006
127,mura_A1007,631007
128,mura_A1008,0
129,mura_A1009,0
130,mura_A1010,0
131,mura_A1011,631011
132,mura_A1012,0
133,mura_A1013,0
134,mura_A1014,0
135,mura_A1015,0
136,mura_A1016,0
137,mura_A1017,631017
138,mura_A1018,0
139,mura_A1019,631019
140,mura_A1020,0
141,mura_A1021,0
142,mura_A1022,0
143,mura_A1023,0
144,mura_A1024,0
145,spirit_A0001,0
146,spirit_A0002,640002
147,spirit_A0003,640003
148,spirit_A0004,0
149,spirit_A0005,640005
150,spirit_A0006,0
151,spirit_A0007,0
152,spirit_A0008,640008
153,spirit_A0009,640009
154,spirit_A0010,640010
155,spirit_A0011,0
156,spirit_A0012,0
157,spirit_A0013,640013
158,spirit_A0014,640014
159,spirit_A0015,640015
160,spirit_A0016,640016
161,spirit_A0017,0
162,spirit_A0018,0
163,spirit_A0019,640019
164,spirit_A0020,640020
165,spirit_A0021,640021
166,spirit_A0022,0
167,spirit_A0023,640023
168,spirit_A0024,0
169,spirit_A1001,0
170,spirit_A1002,641002
171,spirit_A1003,641003
172,spirit_A1004,0
173,spirit_A1005,641005
174,spirit_A1006,0
175,spirit_A1007,0
176,spirit_A1008,641008
177,spirit_A1009,0
178,spirit_A1010,641010
179,spirit_A1011,0
180,spirit_A1012,0
181,spirit_A1013,641013
182,spirit_A1014,0
183,spirit_A1015,0
184,spirit_A1016,0
185,spirit_A1017,0
186,spirit_A1018,0
187,spirit_A1019,641019
188,spirit_A1020,641020
189,spirit_A1021,0
190,spirit_A1022,0
191,spirit_A1023,0
192,spirit_A1024,0
