basis_id,v1,name,v3,v4
1,0,Soso,1,3
2,0,Anmonera,1,2
3,0,Marsh,1,0
4,0,Teddy,2,0
5,0,Bobokan,2,0
6,0,Wild Woodherian,1,0
7,0,Ratchu,1,0
8,0,Geto,1,0
9,0,Monera,1,2
10,0,Wood,2,0
11,0,Baraus,1,0
12,0,High Baraus,2,0
13,0,Great Baraus,3,0
14,0,Purikuri,0,0
15,0,Bookshelf Leg No. 3,0,0
16,0,Mecha Dorothy No. 3,3,0
17,0,Warguma,1,0
18,0,Dwarguma,1,0
19,0,Henkuma,1,0
20,0,Homekeeper mk-2,1,0
21,0,Stefano,2,0
22,0,Karte,1,0
23,0,Chart,1,0
24,0,Bianca,1,0
25,0,Blabby,1,0
26,0,Gatekeeper,3,0
27,0,Globie,1,2
28,0,François,2,0
29,0,Myurobie,1,3
30,0,Neighbor,3,0
31,0,Sparbie,1,3
32,0,King Sparbie,1,0
33,0,Croco,1,0
34,0,Cycloco,8,0
35,0,Murumonera,1,0
36,0,Lady,1,0
37,0,Steady,1,0
38,0,Gou,1,0
39,0,Werewolf,1,0
40,0,Linty,0,0
41,0,Rigu (Deleted),0,0
42,0,Bio (Deleted),0,0
43,0,Nemesia,0,0
44,0,Bacterial Colony,0,0
45,0,Old Water Pump,0,0
46,0,Hakkoumori,1,0
47,0,Little Croco,1,0
48,0,Mummy,0,0
49,0,Monshi,0,0
50,0,Cubic Monshi,0,0
51,0,Dorothy,1,0
52,0,Yangyang,1,0
53,0,Little Yangyang,1,0
54,0,Foxy,1,0
55,0,Soso Skeleton,1,0
56,0,Halloween,1,0
57,0,Zero-Seven,1,0
58,0,Wraith,1,0
59,0,Nine Fox,3,0
60,0,Megadeath,2,0
61,0,Greenhouse Stone,2,0
62,0,Destructible Lever,1,0
63,0,☆Soso☆,1,3
64,0,Antique Pillar,1,0
65,0,Rigu,1,0
66,0,Bio,1,0
67,0,Flying Skull,1,0
68,0,Fox Child,1,0
69,0,Fairy,1,0
70,0,Kim Daegam,1,0
71,0,Montal,1,0
72,0,Emily,1,0
73,0,Nina,1,0
74,0,Nino,1,0
75,0,Puppet,1,0
76,0,Hoggy Puppet,3,0
77,0,Puppet Master,1,0
78,0,Mujina Guard,1,3
79,0,Guardian Fairy,4,0
80,0,Lowborn Frog,1,0
81,0,Demp,1,0
82,0,Fuku's Turtle,1,0
83,0,Thousand-Year Fox,5,0
84,0,Nightwalker,1,0
85,0,Phantom,2,0
86,0,Kamaitachi,1,0
90,0,Bonbo,1,0
91,0,Prisoner,1,3
92,0,Zarukaburi,1,1
93,0,Piggy,1,0
94,0,Tohoho,1,0
95,0,Patrobo,1,3
96,0,Soso Mummy,1,3
97,0,Gregory,2,0
98,0,Gregory II,1,3
99,0,Music Box Soso,1,0
100,0,Rollex,1,0
101,0,Jelly Deli,1,0
102,0,Nightlow,2,0
103,0,Ninja,1,0
104,0,Kota,1,0
105,0,Hinowa Nyudo,1,0
106,0,Black Widow Spider,1,0
107,0,Earthquake,1,0
108,0,Soso Planet,1,3
109,0,Desk Mimic,1,0
110,0,Chair Fighter,1,3
111,0,Dimensional Fish,1,3
112,0,Shadow Beast,1,0
113,0,Cleaning Professor,1,1
114,0,Catatsler,1,0
115,0,Amaquila,2,0
116,0,Quila,1,3
117,0,4D Woodherian,1,0
118,0,PTA 41,1,3
119,0,PTA 26,1,0
120,0,Angry Myurobie,1,2
121,0,Sleeping Woodherian,1,0
122,201223,Soso Fire,1,4
123,0,Red Soso,1,4
124,0,Blue Soso,1,4
125,201253,Shadow Nyudo,1,0
126,0,Kokko,1,3
127,0,Rosie,1,0
128,0,Yoizuki Academy Male Student,1,0
129,0,Yoizuki Academy Female Student,1,0
130,0,Instructor Stefano,2,0
131,0,Fire Kokko,1,0
132,0,Male Student from the Past,1,0
133,0,Female Student from the Past,1,0
134,0,Ghost Vice Principal Stalin,2,0
135,0,L. Torvalds,0,0
136,0,Bobokan Deluxe,2,0
137,0,Escargot,2,0
138,0,PTA No. 51,1,0
139,0,PTA No. 36,1,0
140,0,Man in Black,0,0
141,0,Complete Gatekeeper,2,0
142,0,Antique Guard,1,0
143,0,Antique Queen of Destruction,0,0
144,0,Antique Queen of Salvation,0,0
145,0,Antique Queen's First Attendant,0,0
146,0,Antique Queen's Second Attendant,0,0
147,0,Complete Antique Queen,2,0
148,0,Giant Soso,2,0
149,0,Giant Marsh,2,0
150,0,Giant Seven,2,0
151,0,Student A,1,0
152,0,Treasure Monster,1,0
153,201533,Red Refic,2,0
154,0,Catacomb Guardian,2,0
166,0,Lexie,1,0
