npc_id,name,unk_int,scale
1,Page,1,0
2,Dorothy,2,0
3,Bobokan,29,0.71
4,Shop Auntie,3,0
5,Ben,4,0.34
6,Johnny,5,1.64
7,Mei,6,0.83
8,Bianca,7,1.44
10,Shitoumaru,9,0.73
11,Riez,10,1.5
12,Somunyang,11,0.7
13,Mao Xiaoping,12,1.24
14,Johnny,5,1.64
15,Henkuma,8,0.53
16,Henkuma,8,0.53
17,Bianca,7,1.44
18,Henkuma,8,0.53
19,Somunyang,11,0.7
20,Mao Xiaoping,12,1.24
21,Dorothy,2,0
22,Greenhouse Gate,30,0
23,Ben,4,0.34
24,Page,1,0
25,Stefano,31,0.67
26,Stefano,31,0.67
27,Shop Auntie,3,0
28,Mao Xiaoping,12,1.24
29,Suchong,21,1
30,Somunyang,11,0.7
31,Ben,4,0.34
32,Henkuma,8,0.53
33,Hyunrang,14,1.04
34,Peko,19,1.87
35,Ramin,20,1.87
36,Suchong,21,1
37,Grey,22,0.84
38,Moka,24,1.25
39,China,32,1.23
40,Alina,33,0.95
41,Warguma,36,0.53
42,Dwarguma,37,0.53
43,Suchong,21,1
44,Warguma,36,0.53
45,Dwarguma,37,0.53
46,Riez,10,1.5
47,Lamb,16,0.58
48,Hyunrang,14,1.04
49,Shitoumaru,9,0.73
50,Bobokan,29,0.71
51,Dorothy,2,0
52,Karte,34,1.02
53,Suchong,21,1
54,Riez,10,1.5
55,Hyunrang,14,1.04
56,Moka,24,1.25
57,Page,1,0
58,Suchong,21,1
59,Henkuma,8,0.53
60,Johnny,5,1.64
61,Johnny,5,1.64
62,Johnny,5,1.64
63,Shop Auntie,3,0
64,Somunyang,11,0.7
65,Page,1,0
66,Mao Xiaoping,12,1.24
67,Lever,35,0
68,Shitoumaru,9,0.73
69,Shitoumaru,9,0.73
70,Greenhouse Gate,30,0
71,Mei,6,0.83
72,Mei,6,0.83
73,Mei,6,0.83
74,Mei,6,0.83
75,Mei,6,0.83
76,Suchong,21,1
77,Johnny,5,1.64
78,Lamb,16,0.58
79,Lamb,16,0.58
80,Suchong,21,1
81,Suchong,21,1
82,Lamb,16,0.58
83,Sheep,15,0.93
84,Father Vermont,38,0.85
85,Karen,40,0.57
86,Karen,40,0.57
87,Karen,40,0.57
88,Suiren,39,0.3
89,Animal Memorial,54,0
90,Karen,40,0.57
91,Sam,51,0.34
92,Yoen,46,0.89
93,Kurata,48,0.79
94,Karen,40,0.57
95,Karen,40,0.57
96,Karen,40,0.57
97,Karen,40,0.57
98,Karen,40,0.57
99,Karen,40,0.57
100,Shin Sohyun,43,0.99
101,Ruben,45,0.75
102,Sam,51,0.34
103,Suiren,39,0.3
104,Kurata,48,0.79
105,Kurata,48,0.79
106,Kurata,48,0.79
107,Kurata,48,0.79
108,Karen,40,0.57
109,Kurata,48,0.79
110,Yoen,46,0.89
111,Shaolin,47,0
112,Student A,49,0.84
113,Karen,40,0.57
114,Karen,40,0.57
115,Karen,40,0.57
116,Karen,40,0.57
117,Father Vermont,38,0.85
118,Megadeath,56,0
119,Mao Xiaoping,12,1.24
120,Dorothy,2,0
121,Bobokan,29,0.71
122,Henkuma,8,0.53
123,Shin Sohyun,43,0.99
124,Grey,22,0.84
125,Father Vermont,38,0.85
126,Suiren,39,0.3
127,Suiren,39,0.3
128,Karen,40,0.57
129,Shaolin,47,0
130,Student A,49,0.84
131,Shin Sohyun,43,0.99
132,Shin Sohyun,43,0.99
133,Suiren,39,0.3
134,Father Vermont,38,0.85
135,Father Vermont,38,0.85
136,Suiren,39,0.3
137,Suiren,39,0.3
138,Suiren,39,0.3
139,Karen,40,0.57
140,Karen,40,0.57
141,Student A,49,0.84
142,Kurata,48,0.79
143,Shin Sohyun,43,0.99
144,Lowborn Frog,52,0
145,Fox Child,53,0
146,Shaolin,47,0
147,Woman of the Mausoleum,50,0
148,Ruben,45,0.75
149,Ultrasonic Generator,58,0
150,Shaolin,47,0
151,Shin Sohyun,43,0.99
152,Lowborn Frog,52,0
153,Shin Sohyun,43,0.99
154,Father Vermont,38,0.85
155,Kurata,48,0.79
156,Karen,40,0.57
157,Lamb,16,0.58
158,Hyunrang,14,1.04
159,Werewolf,55,0
160,Suchong,21,1
161,Mei,6,0.83
162,Mei,6,0.83
163,Karen,40,0.57
164,Hyunrang,14,1.04
165,Stefano,31,0.67
166,Shop Auntie,3,0
167,Shop Auntie,3,0
168,Shin Sohyun,43,0.99
169,Kurata,48,0.79
170,Ruben,45,0.75
171,Sam,51,0.34
172,Shin Sohyun,43,0.99
173,Yoen,46,0.89
174,Father Vermont,38,0.85
175,Karen,40,0.57
176,Suiren,39,0.3
177,Shop Auntie,3,0
178,Shop Auntie,3,0
179,Shaolin,47,0
180,Student A,49,0.84
181,Sam,51,0.34
182,Kurata,48,0.79
183,Karen,40,0.57
184,Karen,40,0.57
185,Father Vermont,38,0.85
186,Kurata,48,0.79
187,Johnny,5,1.64
188,Johnny,5,1.64
189,Johnny,5,1.64
190,Mei,6,0.83
191,Mei,6,0.83
192,Mei,6,0.83
193,Mei,6,0.83
194,Mei,6,0.83
195,Mei,6,0.83
196,Sam,51,0.34
197,Shitoumaru,9,0.73
198,Hyunrang,14,1.04
199,Hoyang,42,0.98
200,Meiyen,41,0.52
201,Warguma,36,0.53
202,Dwarguma,37,0.53
203,Moka,89,1.25
204,Moka,89,1.25
205,Moka,89,1.25
