index,npc_id,name,location,npc_ref_id
0,1,ページ,エスティバー校舎 1階 図書館,1
1,4,No.2,エスティバー グラウンド東の購買,4
2,5,ベン,エスティバー校舎 玄関前,5
3,6,ジョニー,エスティバー裏山 温室前,6
4,7,メイ,エスティバー裏山 温室前,7
5,8,ビアンカ,エスティバー校舎 1階 保健室,8
6,10,四刀丸,エスティバー裏山 飼育場前,10
7,11,リエズ,エスティバー校舎 1階 職員室,11
8,12,ソムンヤン,エスティバー校舎 2階 休憩所,12
9,13,マオ＝シャオピン,エスティバー校舎 2階 科学室,13
10,15,変熊,エスティバー校門前 横断歩道近く,15
11,27,No.27,宵月学院校舎西 購買,27
12,33,ヒョンラン,エスティバー裏山 飼育場前,33
13,34,ペコー,エスティバー校舎 玄関前,34
14,35,ラミン,エスティバー校舎地下 1階 廊下,35
15,36,スーチョン,エスティバー グラウンドステージ横,36
16,37,グレイ,エスティバー校舎 3階 廊下,37
17,38,モカ,エスティバー校舎東 講堂前,38
18,39,チャイナ,エスティバー校舎 1階 玄関前,39
19,40,アリーナ,エスティバー校舎 1階 音楽室,40
20,41,ワルグマー,エスティバー校門前 バス停近く,41
21,42,ドワルグマー,エスティバー校門前 バス停近く,42
22,557,ハチ,宵月学院グラウンド 北東,557
23,82,どんぐり,エスティバー裏山 飼育場前,82
24,166,No.386,エスティバー校舎 地下 1階,166
25,167,No.486,宵月学院校舎 2階,167
26,169,暗田,宵月学院校舎西 講堂前,169
27,170,ルーベン,宵月学院グラウンド 南西広場,170
28,171,サム,宵月学院校舎 玄関前,171
29,172,シンソヒョン,宵月学院校舎 1階 職員室,172
30,173,妖艶,宵月学院校舎 1階 保健室,173
31,174,バーモント神父,宵月学院裏庭 聖堂,174
32,175,火蓮,宵月学院裏庭 墓地中央,175
33,176,水蓮,宵月学院裏庭 墓地正門前,176
34,177,No.777,宵月学院校門前 バス停,177
35,178,No.999,エスティバー校門前 バス停,178
36,179,シャオリーン,オカルト研究部部室,179
37,180,生徒 A,オカルト研究部部室,180
38,199,ホヤン,旧校舎 1階,199
39,200,メイイェン,旧校舎 2階,200
40,324,カルテ,エスティバー校門前 献血車そば,324
41,325,インジェクト,宵月学院校門前 献血車そば,325
42,365,アンナ,エスティバー グラウンド中央,365
43,366,ナナ,宵月学院 グラウンド中央,366
