index,quest_id,v1,v2,item_id,amount
0,1001,3,4,77,10
1,1001,4,1,1,100
2,1001,4,3,10005,30
3,1002,3,4,273,40
4,1002,4,1,1,70
5,1002,4,3,10005,50
6,1002,4,3,20001,3
7,1003,1,4,134,5
8,1003,3,4,157,5
9,1003,4,1,1,200
10,1003,4,3,10005,30
11,1004,3,4,157,4
12,1004,4,1,1,160
13,1004,4,3,10005,30
14,1004,4,3,20001,3
15,1005,3,4,157,3
16,1005,4,1,1,300
17,1005,4,3,10005,30
18,1006,3,4,40,45
19,1006,4,1,1,440
20,1006,4,3,10005,55
21,1007,3,4,5,25
22,1007,4,1,1,140
23,1007,4,3,10005,30
24,1007,4,5,10001,1
25,1008,3,4,113,30
26,1008,4,1,1,520
27,1008,4,3,10005,30
28,1008,4,3,20001,6
29,1009,3,4,141,30
30,1009,4,1,1,400
31,1009,4,2,150020,1
32,1009,4,3,10005,105
33,1009,4,3,20001,9
34,1010,3,4,78,30
35,1010,4,1,1,340
36,1010,4,2,150015,1
37,1010,4,3,10005,130
38,1011,3,4,138,5
39,1011,4,1,1,800
40,1011,4,3,10005,30
41,1011,4,3,10002,15
42,1011,4,3,20002,3
43,1012,3,4,133,8
44,1012,4,1,1,900
45,1012,4,3,10005,30
46,1012,4,5,10001,1
47,1013,3,4,2,35
48,1013,4,1,1,1000
49,1013,4,3,10005,30
50,1013,4,3,20001,12
51,1014,3,4,239,5
52,1014,4,1,1,930
53,1014,4,3,10005,140
54,1015,3,4,142,1
55,1015,4,1,1,2600
56,1015,4,3,10005,30
57,1015,4,4,117,1
58,1016,3,4,124,1
59,1016,3,4,106,7
60,1016,4,1,1,800
61,1016,4,3,10005,205
62,1017,2,4,117,1
63,1017,3,4,118,3
64,1017,4,1,1,2000
65,1017,4,3,10005,30
66,1017,4,3,20001,30
67,1018,3,4,144,1
68,1018,4,1,1,1000
69,1018,4,3,10005,380
70,1019,3,4,127,40
71,1019,4,1,1,3000
72,1019,4,3,10002,60
73,1019,4,3,10003,30
74,1020,3,4,116,50
75,1020,4,1,1,4500
76,1020,4,5,10002,3
77,1021,3,4,139,1
78,1021,4,1,1,9000
79,1022,3,4,126,1
80,1022,4,3,20001,60
81,1022,4,3,20002,30
82,1023,3,4,7,35
83,1023,4,1,1,4200
84,1023,4,3,10002,180
85,1024,3,4,140,5
86,1024,4,1,1,27
87,1024,4,3,20002,30
88,1024,4,5,10002,3
89,1025,3,4,143,1
90,1025,4,1,1,5100
91,1025,4,3,10002,60
92,1026,3,4,135,7
93,1026,4,1,1,10500
94,1026,4,3,10002,30
95,1027,3,4,114,1
96,1027,4,1,1,6000
97,1027,4,3,10002,120
98,1027,4,3,20002,12
99,1028,3,4,115,77
100,1028,4,3,10002,270
101,1029,3,4,76,20
102,1029,4,1,1,6600
103,1029,4,3,10002,60
104,1029,4,3,10003,30
105,1030,3,4,225,1
106,1030,4,1,1,18000
107,1031,3,4,4,25
108,1031,4,1,1,600
109,1031,4,3,20002,60
110,1032,3,4,159,1
111,1032,4,1,1,18000
112,1032,4,3,10003,180
113,1033,3,4,91,25
114,1033,4,1,1,600
115,1033,4,3,10002,120
116,1033,4,3,10003,48
117,1034,3,4,2,30
118,1034,4,1,1,6000
119,1034,4,3,20001,90
120,1035,3,4,136,3
121,1035,4,1,1,900
122,1035,4,3,10005,30
123,1035,4,3,20001,45
124,1036,3,4,164,15
125,1036,4,3,10005,275
126,1037,3,4,166,1
127,1037,4,1,1,14
128,1037,4,3,10005,65
129,1037,4,3,20001,21
130,1038,3,4,163,1
131,1038,4,1,1,9900
132,1039,3,4,7,45
133,1039,4,3,10003,156
134,1040,3,4,161,30
135,1040,4,3,20001,120
136,1040,4,4,185,1
137,1041,3,4,182,35
138,1041,4,1,1,12000
139,1042,3,4,221,1
140,1042,4,1,1,9000
141,1042,4,5,10002,3
142,1042,5,4,227,6
143,1043,3,4,151,1
144,1043,4,1,1,800
145,1043,4,3,10005,30
146,1043,5,4,147,10
147,1044,3,4,150,15
148,1044,4,3,10003,105
149,1044,4,3,20001,75
150,1045,3,4,222,7
151,1045,4,1,1,11250
152,1045,4,3,10003,75
153,1046,3,4,47,40
154,1046,4,3,10004,105
155,1047,3,4,274,20
156,1047,4,1,1,22500
157,1047,4,4,275,1
158,1048,3,4,67,1
159,1048,4,1,1,4000
160,1048,4,3,10005,30
161,1049,3,4,46,50
162,1049,4,3,10003,225
163,1050,3,4,48,1
164,1050,3,4,18,25
165,1050,4,3,10004,105
166,1050,4,3,20001,45
167,1051,3,4,112,5
168,1051,4,3,20002,180
169,1054,3,4,176,1
170,1054,4,1,1,16500
171,1056,3,4,63,1
172,1056,4,1,1,9000
173,1056,4,3,10003,90
174,1056,4,5,10003,3
175,1057,3,4,168,1
176,1057,4,1,1,5400
177,1057,4,3,10003,36
178,1060,3,4,165,1
179,1060,4,1,1,51
180,1060,4,3,10003,51
181,1060,4,3,10004,51
182,1060,4,3,20001,51
183,1060,4,3,20002,51
184,1061,3,4,84,30
185,1061,4,3,10003,180
186,1063,3,4,277,4
187,1063,4,3,10004,150
