index,skill_id,code,name,description,v0,v1,f0,f1,v2,v3
0,10101,SK010101,野蛮に殴る武器基本攻撃 1,野蛮に殴る武器基本攻撃 1回目だ。,22,22,1.0,0.0,1,100
1,10102,SK010102,野蛮に殴る武器基本攻撃 2,野蛮に殴る武器基本攻撃 2回目だ。,22,22,1.0,0.0,1,100
2,10103,SK010103,野蛮に殴る武器基本攻撃 3,野蛮に殴る武器基本攻撃 3回目だ。,22,22,1.0,0.0,1,100
3,10104,SK010104,野蛮に殴る武器基本攻撃 4,野蛮に殴る武器基本攻撃 4回目だ。,22,22,1.0,0.0,1,230
4,10201,SK010201,大きくて重い武器基本攻撃 1,大きくて重い武器基本攻撃 1回目だ。,22,22,1.0,0.0,1,96
5,10202,SK010202,大きくて重い武器基本攻撃 2,大きくて重い武器基本攻撃 2回目だ。,22,22,1.0,0.0,1,96
6,10203,SK010203,大きくて重い武器基本攻撃 3,大きくて重い武器基本攻撃 3回目だ。,22,22,1.0,0.0,1,96
7,10204,SK010204,大きくて重い武器基本攻撃 4,大きくて重い武器基本攻撃 4回目だ。,22,22,1.0,0.0,1,167
8,10301,SK010301,短くて軽い武器基本攻撃 1,短くて軽い武器基本攻撃 1回目だ。,22,22,1.0,0.0,1,100
9,10302,SK010302,短くて軽い武器基本攻撃 2,短くて軽い武器基本攻撃 2回目だ。,22,22,1.0,0.0,1,100
10,10303,SK010303,短くて軽い武器基本攻撃 3,短くて軽い武器基本攻撃 3回目だ。,22,22,1.0,0.0,1,100
11,10304,SK010304,短くて軽い武器基本攻撃 4,短くて軽い武器基本攻撃 4回目だ。,22,22,1.0,0.0,1,100
12,10401,SK010401,普通の軽い武器基本攻撃 1,普通の軽い武器基本攻撃 1回目だ。,22,22,1.0,0.0,1,86
13,10402,SK010402,普通の軽い武器基本攻撃 2,普通の軽い武器基本攻撃 2回目だ。,22,22,1.0,0.0,1,86
14,10403,SK010403,普通の軽い武器基本攻撃 3,普通の軽い武器基本攻撃 3回目だ。,22,22,1.0,0.0,1,86
15,10404,SK010404,普通の軽い武器基本攻撃 4,普通の軽い武器基本攻撃 4回目だ。,22,22,1.0,0.0,1,142
16,20001,SK020001,スティンガーエッジ,刃が分離して周囲を旋回しながら敵を攻撃するスキル,22,22,2.0,1.401298464324817e-45,1,150
17,20002,SK020002,トライスラッシュ,力を溜めて、斜めに打ち下ろすスキル,22,22,1.0,1.401298464324817e-45,1,300
18,20003,SK020003,めがとんふぉーる,真正面にいる敵にダメージを与える,22,22,1.0,1.401298464324817e-45,1,300
19,20004,SK020004,めがとんくらっしゃー,プレーヤーキャラクターの前の何人の敵にダメージを加える。,22,22,1.0,2.802596928649634e-45,1,450
20,20005,SK020005,茨の槍,毒の葛で正面の敵を突くスキル,22,22,1.0,1.401298464324817e-45,1,300
21,20006,SK020006,毒蔦の槍,前方の敵を貫く、力強い突きをするスキル,22,22,2.0,2.802596928649634e-45,1,450
22,20007,SK020007,スピンカッター,,0,0,0.0,0.0,0,0
