index,skill_id,ref_skill_id,effect_id,effect_desc_id,weapon_type,stage,next_skill_id,power_value,v8,f0,text,v9
0,41001,41001,91011,92011,1,1,41002,1,0,8.0,初級攻撃(攻撃力：1),0
1,41002,41001,91011,92011,1,2,41003,8,0,8.0,初級攻撃(攻撃力：4),0
2,41003,41001,91011,92011,1,3,41004,15,0,8.0,初級攻撃(攻撃力：8),0
3,41004,41001,91011,92012,1,4,41005,22,0,8.0,初級攻撃(攻撃力：12),0
4,41005,41001,91011,92012,1,5,41006,29,0,8.0,初級攻撃(攻撃力：16),0
5,41006,41001,91011,92012,2,6,41007,36,0,8.0,初級攻撃(攻撃力：20),0
6,41007,41001,91011,92013,2,7,41008,43,0,8.0,初級攻撃(攻撃力：25),0
7,41008,41001,91011,92013,2,8,41009,50,0,8.0,初級攻撃(攻撃力：29),0
8,41009,41001,91011,92013,2,9,41010,57,0,8.0,初級攻撃(攻撃力：33),0
9,41010,41001,91011,92014,2,10,0,64,0,8.0,初級攻撃(攻撃力：37),0
10,41011,41011,91011,92011,2,1,41012,67,0,8.0,中級攻撃(攻撃力：46),0
11,41012,41011,91011,92011,3,2,41013,74,0,8.0,中級攻撃(攻撃力：50),0
12,41013,41011,91011,92011,3,3,41014,81,0,8.0,中級攻撃(攻撃力：55),0
13,41014,41011,91011,92012,3,4,41015,88,0,8.0,中級攻撃(攻撃力：60),0
14,41015,41011,91011,92012,3,5,41016,95,0,8.0,中級攻撃(攻撃力：65),0
15,41016,41011,91011,92012,4,6,41017,102,0,8.0,中級攻撃(攻撃力：70),0
16,41017,41011,91011,92013,4,7,41018,109,0,8.0,中級攻撃(攻撃力：75),0
17,41018,41011,91011,92013,4,8,41019,116,0,8.0,中級攻撃(攻撃力：80),0
18,41019,41011,91011,92013,4,9,41020,123,0,8.0,中級攻撃(攻撃力：84),0
19,41020,41011,91011,92014,4,10,0,130,0,8.0,中級攻撃(攻撃力：89),0
20,41021,41021,91011,92011,4,1,41022,133,0,8.0,上級攻撃(攻撃力：105),0
21,41022,41021,91011,92011,4,2,41023,140,0,8.0,上級攻撃(攻撃力：113),0
22,41023,41021,91011,92011,5,3,41024,147,0,8.0,上級攻撃(攻撃力：122),0
23,41024,41021,91011,92012,5,4,41025,154,0,8.0,上級攻撃(攻撃力：130),0
24,41025,41021,91011,92012,5,5,41026,161,0,8.0,上級攻撃(攻撃力：138),0
25,41026,41021,91011,92012,5,6,41027,168,0,8.0,上級攻撃(攻撃力：147),0
26,41027,41021,91011,92013,5,7,41028,175,0,8.0,上級攻撃(攻撃力：155),0
27,41028,41021,91011,92013,5,8,41029,182,0,8.0,上級攻撃(攻撃力：164),0
28,41029,41021,91011,92013,5,9,41030,189,0,8.0,上級攻撃(攻撃力：172),0
29,41030,41021,91011,92014,6,10,0,196,0,8.0,上級攻撃(攻撃力：179),0
30,41031,41031,91031,92031,1,1,41032,4,0,4.5,一定時間攻撃力アップ(攻撃力 +2，持続：35秒),1
31,41032,41031,91031,92031,1,2,41033,10,0,6.0,一定時間攻撃力アップ(攻撃力 +5，持続：37秒),1
32,41033,41031,91031,92031,1,3,41034,16,0,7.199999809265137,一定時間攻撃力アップ(攻撃力 +8，持続：39秒),1
33,41034,41031,91031,92032,1,4,41035,22,0,8.300000190734863,一定時間攻撃力アップ(攻撃力 +12，持続：41秒),1
34,41035,41031,91031,92032,1,5,41036,28,0,9.100000381469727,一定時間攻撃力アップ(攻撃力 +16，持続：43秒),1
35,41036,41031,91031,92032,1,6,41037,34,0,10.399999618530273,一定時間攻撃力アップ(攻撃力 +20，持続：46秒),1
36,41037,41031,91031,92033,2,7,41038,40,0,11.399999618530273,一定時間攻撃力アップ(攻撃力 +23，持続：49秒),1
37,41038,41031,91031,92033,2,8,41039,46,0,12.100000381469727,一定時間攻撃力アップ(攻撃力 +27，持続：52秒),1
38,41039,41031,91031,92033,2,9,41040,52,0,12.5,一定時間攻撃力アップ(攻撃力 +30，持続：55秒),1
39,41040,41031,91031,92034,2,10,0,58,0,13.5,一定時間攻撃力アップ(攻撃力 +34，持続：60秒),1
40,41041,41041,91031,92031,3,1,41042,70,0,6.300000190734863,一定時間命中アップ(命中 +31，持続：37秒),1
41,41042,41041,91031,92031,3,2,41043,76,0,8.5,一定時間命中アップ(命中 +33，持続：40秒),1
42,41043,41041,91031,92031,3,3,41044,82,0,10.399999618530273,一定時間命中アップ(命中 +36，持続：43秒),1
43,41044,41041,91031,92032,3,4,41045,88,0,12.0,一定時間命中アップ(命中 +39，持続：46秒),1
44,41045,41041,91031,92032,3,5,41046,94,0,13.300000190734863,一定時間命中アップ(命中 +41，持続：49秒),1
45,41046,41041,91031,92032,3,6,41047,100,0,15.0,一定時間命中アップ(命中 +44，持続：53秒),1
46,41047,41041,91031,92033,4,7,41048,106,0,16.200000762939453,一定時間命中アップ(命中 +47，持続：57秒),1
47,41048,41041,91031,92033,4,8,41049,112,0,17.100000381469727,一定時間命中アップ(命中 +49，持続：61秒),1
48,41049,41041,91031,92033,4,9,41050,118,0,17.5,一定時間命中アップ(命中 +52，持続：65秒),1
49,41050,41041,91031,92034,4,10,0,124,0,18.0,一定時間命中アップ(命中 +55，持続：70秒),1
50,41051,41051,91031,92031,4,1,41052,136,0,4.5,防御力ダウン、攻撃力アップ(防御力-67，攻撃力+135),1
51,41052,41051,91031,92031,4,2,41053,142,0,5.099999904632568,防御力ダウン、攻撃力アップ(防御力-72，攻撃力+145),1
52,41053,41051,91031,92031,5,3,41054,148,0,5.599999904632568,防御力ダウン、攻撃力アップ(防御力-76，攻撃力+153),1
53,41054,41051,91031,92032,5,4,41055,154,0,6.0,防御力ダウン、攻撃力アップ(防御力-81，攻撃力+163),1
54,41055,41051,91031,92032,5,5,41056,160,0,6.300000190734863,防御力ダウン、攻撃力アップ(防御力-85，攻撃力+171),1
55,41056,41051,91031,92032,5,6,41057,166,0,7.199999809265137,防御力ダウン、攻撃力アップ(防御力-90，攻撃力+180),1
56,41057,41051,91031,92033,5,7,41058,172,0,7.800000190734863,防御力ダウン、攻撃力アップ(防御力-94，攻撃力+189),1
57,41058,41051,91031,92033,5,8,41059,178,0,8.300000190734863,防御力ダウン、攻撃力アップ(防御力-99，攻撃力+198),1
58,41059,41051,91031,92033,5,9,41060,184,0,8.5,防御力ダウン、攻撃力アップ(防御力-103，攻撃力+206),1
59,41060,41051,91031,92034,5,10,0,190,0,9.0,防御力ダウン、攻撃力アップ(防御力-108，攻撃力+216),1
60,41091,41091,0,0,1,1,41092,1,0,0.0,攻撃力アップ(攻撃力 +1，パッシブスキル),2
61,41092,41091,0,0,1,2,41093,21,0,0.0,攻撃力アップ(攻撃力 +8，パッシブスキル),2
62,41093,41091,0,0,2,3,41094,41,0,0.0,攻撃力アップ(攻撃力 +16，パッシブスキル),2
63,41094,41091,0,0,2,4,41095,61,0,0.0,攻撃力アップ(攻撃力 +23，パッシブスキル),2
64,41095,41091,0,0,3,5,41096,81,0,0.0,攻撃力アップ(攻撃力 +32，パッシブスキル),2
65,41096,41091,0,0,3,6,41097,101,0,0.0,攻撃力アップ(攻撃力 +39，パッシブスキル),2
66,41097,41091,0,0,4,7,41098,121,0,0.0,攻撃力アップ(攻撃力 +48，パッシブスキル),2
67,41098,41091,0,0,4,8,41099,141,0,0.0,攻撃力アップ(攻撃力 +57，パッシブスキル),2
68,41099,41091,0,0,5,9,41100,161,0,0.0,攻撃力アップ(攻撃力 +69，パッシブスキル),2
69,41100,41091,0,0,5,10,0,181,0,0.0,攻撃力アップ(攻撃力 +81，パッシブスキル),2
70,41101,41101,0,0,1,1,41102,6,0,0.0,命中アップ(命中 +1，パッシブスキル),2
71,41102,41101,0,0,1,2,41103,25,0,0.0,命中アップ(命中 +7，パッシブスキル),2
72,41103,41101,0,0,2,3,41104,44,0,0.0,命中アップ(命中 +13，パッシブスキル),2
73,41104,41101,0,0,2,4,41105,63,0,0.0,命中アップ(命中 +18，パッシブスキル),2
74,41105,41101,0,0,3,5,41106,82,0,0.0,命中アップ(命中 +24，パッシブスキル),2
75,41106,41101,0,0,3,6,41107,101,0,0.0,命中アップ(命中 +30，パッシブスキル),2
76,41107,41101,0,0,4,7,41108,120,0,0.0,命中アップ(命中 +35，パッシブスキル),2
77,41108,41101,0,0,4,8,41109,139,0,0.0,命中アップ(命中 +42，パッシブスキル),2
78,41109,41101,0,0,5,9,41110,158,0,0.0,命中アップ(命中 +51，パッシブスキル),2
79,41110,41101,0,0,5,10,0,177,0,0.0,命中アップ(命中 +59，パッシブスキル),2
80,41111,41111,0,0,1,1,41112,11,0,0.0,最大HPアップ(最大HP +42，パッシブスキル),2
81,41112,41111,0,0,1,2,41113,30,0,0.0,最大HPアップ(最大HP +121，パッシブスキル),2
82,41113,41111,0,0,2,3,41114,49,0,0.0,最大HPアップ(最大HP +201，パッシブスキル),2
83,41114,41111,0,0,2,4,41115,68,0,0.0,最大HPアップ(最大HP +285，パッシブスキル),2
84,41115,41111,0,0,3,5,41116,87,0,0.0,最大HPアップ(最大HP +364，パッシブスキル),2
85,41116,41111,0,0,4,6,41117,106,0,0.0,最大HPアップ(最大HP +448，パッシブスキル),2
86,41117,41111,0,0,4,7,41118,125,0,0.0,最大HPアップ(最大HP +527，パッシブスキル),2
87,41118,41111,0,0,4,8,41119,144,0,0.0,最大HPアップ(最大HP +637，パッシブスキル),2
88,41119,41111,0,0,5,9,41120,163,0,0.0,最大HPアップ(最大HP +756，パッシブスキル),2
89,41120,41111,0,0,5,10,0,182,0,0.0,最大HPアップ(最大HP +882，パッシブスキル),2
90,61001,61001,91011,92011,1,1,61002,1,0,12.0,初級攻撃(攻撃力：1),0
91,61002,61001,91011,92011,1,2,61003,8,0,12.0,初級攻撃(攻撃力：3),0
92,61003,61001,91011,92011,1,3,61004,15,0,12.0,初級攻撃(攻撃力：7),0
93,61004,61001,91011,92012,1,4,61005,22,0,12.0,初級攻撃(攻撃力：10),0
94,61005,61001,91011,92012,1,5,61006,29,0,12.0,初級攻撃(攻撃力：14),0
95,61006,61001,91011,92012,2,6,61007,36,0,12.0,初級攻撃(攻撃力：17),0
96,61007,61001,91011,92013,2,7,61008,43,0,12.0,初級攻撃(攻撃力：21),0
97,61008,61001,91011,92013,2,8,61009,50,0,12.0,初級攻撃(攻撃力：24),0
98,61009,61001,91011,92013,2,9,61010,57,0,12.0,初級攻撃(攻撃力：28),0
99,61010,61001,91011,92014,2,10,0,64,0,12.0,初級攻撃(攻撃力：31),0
100,61011,61011,91011,92011,2,1,61012,67,0,12.0,中級攻撃(攻撃力：39),0
101,61012,61011,91011,92011,3,2,61013,74,0,12.0,中級攻撃(攻撃力：43),0
102,61013,61011,91011,92011,3,3,61014,81,0,12.0,中級攻撃(攻撃力：47),0
103,61014,61011,91011,92012,3,4,61015,88,0,12.0,中級攻撃(攻撃力：51),0
104,61015,61011,91011,92012,3,5,61016,95,0,12.0,中級攻撃(攻撃力：56),0
105,61016,61011,91011,92012,4,6,61017,102,0,12.0,中級攻撃(攻撃力：60),0
106,61017,61011,91011,92013,4,7,61018,109,0,12.0,中級攻撃(攻撃力：64),0
107,61018,61011,91011,92013,4,8,61019,116,0,12.0,中級攻撃(攻撃力：68),0
108,61019,61011,91011,92013,4,9,61020,123,0,12.0,中級攻撃(攻撃力：72),0
109,61020,61011,91011,92014,4,10,0,130,0,12.0,中級攻撃(攻撃力：77),0
110,61021,61021,91031,92031,1,1,61022,4,0,7.199999809265137,一定時間回避アップ(回避 +1，持続：38秒),1
111,61022,61021,91031,92031,1,2,61023,10,0,10.199999809265137,一定時間回避アップ(回避 +4，持続：42秒),1
112,61023,61021,91031,92031,1,3,61024,16,0,12.800000190734863,一定時間回避アップ(回避 +6，持続：46秒),1
113,61024,61021,91031,92032,1,4,61025,22,0,15.800000190734863,一定時間回避アップ(回避 +9，持続：51秒),1
114,61025,61021,91031,92032,1,5,61026,28,0,18.200000762939453,一定時間回避アップ(回避 +12，持続：56秒),1
115,61026,61021,91031,92032,1,6,61027,34,0,20.799999237060547,一定時間回避アップ(回避 +15，持続：62秒),1
116,61027,61021,91031,92033,2,7,61028,40,0,22.799999237060547,一定時間回避アップ(回避 +17，持続：68秒),1
117,61028,61021,91031,92033,2,8,61029,46,0,24.799999237060547,一定時間回避アップ(回避 +20，持続：75秒),1
118,61029,61021,91031,92033,2,9,61030,52,0,26.0,一定時間回避アップ(回避 +22，持続：82秒),1
119,61030,61021,91031,92034,2,10,0,58,0,27.0,一定時間回避アップ(回避 +25，持続：90秒),1
120,61031,61031,91031,92031,3,1,61032,70,0,7.199999809265137,一定時間クールタイム加速(クールタイム +31，持続：38秒),1
121,61032,61031,91031,92031,3,2,61033,76,0,10.199999809265137,一定時間クールタイム加速(クールタイム +33，持続：42秒),1
122,61033,61031,91031,92031,3,3,61034,82,0,12.800000190734863,一定時間クールタイム加速(クールタイム +36，持続：46秒),1
123,61034,61031,91031,92032,3,4,61035,88,0,15.800000190734863,一定時間クールタイム加速(クールタイム +39，持続：51秒),1
124,61035,61031,91031,92032,3,5,61036,94,0,18.200000762939453,一定時間クールタイム加速(クールタイム +41，持続：56秒),1
125,61036,61031,91031,92032,3,6,61037,100,0,20.799999237060547,一定時間クールタイム加速(クールタイム +44，持続：62秒),1
126,61037,61031,91031,92033,4,7,61038,106,0,22.799999237060547,一定時間クールタイム加速(クールタイム +47，持続：68秒),1
127,61038,61031,91031,92033,4,8,61039,112,0,24.799999237060547,一定時間クールタイム加速(クールタイム +49，持続：75秒),1
128,61039,61031,91031,92033,4,9,61040,118,0,26.0,一定時間クールタイム加速(クールタイム +52，持続：82秒),1
129,61040,61031,91031,92034,4,10,0,124,0,27.0,一定時間クールタイム加速(クールタイム +55，持続：90秒),1
130,61041,61041,91031,92031,1,1,61042,6,0,25.0,HP 回復(HP +93),1
131,61042,61041,91031,92031,1,2,61043,19,0,25.0,HP 回復(HP +373),1
132,61043,61041,91031,92031,1,3,61044,32,0,25.0,HP 回復(HP +653),1
133,61044,61041,91031,92032,2,4,61045,45,0,25.0,HP 回復(HP +933),1
134,61045,61041,91031,92032,2,5,61046,58,0,25.0,HP 回復(HP +1213),1
135,61046,61041,91031,92032,3,6,61047,71,0,25.0,HP 回復(HP +1475),1
136,61047,61041,91031,92033,3,7,61048,84,0,25.0,HP 回復(HP +1699),1
137,61048,61041,91031,92033,3,8,61049,97,0,25.0,HP 回復(HP +1923),1
138,61049,61041,91031,92033,4,9,61050,110,0,25.0,HP 回復(HP +2147),1
139,61050,61041,91031,92034,4,10,0,123,0,25.0,HP 回復(HP +2352),1
140,61121,61121,0,0,1,1,61122,8,0,0.0,回避アップ(回避 +2，パッシブスキル),2
141,61122,61121,0,0,1,2,61123,27,0,0.0,回避アップ(回避 +7，パッシブスキル),2
142,61123,61121,0,0,2,3,61124,46,0,0.0,回避アップ(回避 +13，パッシブスキル),2
143,61124,61121,0,0,2,4,61125,65,0,0.0,回避アップ(回避 +19，パッシブスキル),2
144,61125,61121,0,0,3,5,61126,84,0,0.0,回避アップ(回避 +25，パッシブスキル),2
145,61126,61121,0,0,4,6,61127,103,0,0.0,回避アップ(回避 +30，パッシブスキル),2
146,61127,61121,0,0,4,7,61128,122,0,0.0,回避アップ(回避 +36，パッシブスキル),2
147,61128,61121,0,0,4,8,61129,141,0,0.0,回避アップ(回避 +43，パッシブスキル),2
148,61129,61121,0,0,5,9,61130,160,0,0.0,回避アップ(回避 +51，パッシブスキル),2
149,61130,61121,0,0,5,10,0,179,0,0.0,回避アップ(回避 +60，パッシブスキル),2
150,61131,61131,0,0,1,1,61132,10,0,0.0,クールタイム加速(クールタイム +3，パッシブスキル),2
151,61132,61131,0,0,1,2,61133,29,0,0.0,クールタイム加速(クールタイム +8，パッシブスキル),2
152,61133,61131,0,0,2,3,61134,48,0,0.0,クールタイム加速(クールタイム +14，パッシブスキル),2
153,61134,61131,0,0,2,4,61135,67,0,0.0,クールタイム加速(クールタイム +20，パッシブスキル),2
154,61135,61131,0,0,3,5,61136,86,0,0.0,クールタイム加速(クールタイム +25，パッシブスキル),2
155,61136,61131,0,0,4,6,61137,105,0,0.0,クールタイム加速(クールタイム +31，パッシブスキル),2
156,61137,61131,0,0,4,7,61138,124,0,0.0,クールタイム加速(クールタイム +36，パッシブスキル),2
157,61138,61131,0,0,4,8,61139,143,0,0.0,クールタイム加速(クールタイム +44，パッシブスキル),2
158,61139,61131,0,0,5,9,61140,162,0,0.0,クールタイム加速(クールタイム +52，パッシブスキル),2
159,61140,61131,0,0,5,10,0,181,0,0.0,クールタイム加速(クールタイム +61，パッシブスキル),2
160,21001,21001,91011,92011,1,1,21002,1,0,8.0,初級攻撃(攻撃力：1),0
161,21002,21001,91011,92011,1,2,21003,8,0,8.0,初級攻撃(攻撃力：4),0
162,21003,21001,91011,92011,1,3,21004,15,0,8.0,初級攻撃(攻撃力：8),0
163,21004,21001,91011,92012,1,4,21005,22,0,8.0,初級攻撃(攻撃力：12),0
164,21005,21001,91011,92012,1,5,21006,29,0,8.0,初級攻撃(攻撃力：16),0
165,21006,21001,91011,92012,2,6,21007,36,0,8.0,初級攻撃(攻撃力：20),0
166,21007,21001,91011,92013,2,7,21008,43,0,8.0,初級攻撃(攻撃力：25),0
167,21008,21001,91011,92013,2,8,21009,50,0,8.0,初級攻撃(攻撃力：29),0
168,21009,21001,91011,92013,2,9,21010,57,0,8.0,初級攻撃(攻撃力：33),0
169,21010,21001,91011,92014,2,10,0,64,0,8.0,初級攻撃(攻撃力：37),0
170,21011,21011,91011,92011,2,1,21012,67,0,8.0,中級攻撃(攻撃力：46),0
171,21012,21011,91011,92011,3,2,21013,74,0,8.0,中級攻撃(攻撃力：50),0
172,21013,21011,91011,92011,3,3,21014,81,0,8.0,中級攻撃(攻撃力：55),0
173,21014,21011,91011,92012,3,4,21015,88,0,8.0,中級攻撃(攻撃力：60),0
174,21015,21011,91011,92012,3,5,21016,95,0,8.0,中級攻撃(攻撃力：65),0
175,21016,21011,91011,92012,4,6,21017,102,0,8.0,中級攻撃(攻撃力：70),0
176,21017,21011,91011,92013,4,7,21018,109,0,8.0,中級攻撃(攻撃力：75),0
177,21018,21011,91011,92013,4,8,21019,116,0,8.0,中級攻撃(攻撃力：80),0
178,21019,21011,91011,92013,4,9,21020,123,0,8.0,中級攻撃(攻撃力：84),0
179,21020,21011,91011,92014,4,10,0,130,0,8.0,中級攻撃(攻撃力：89),0
180,21021,21021,91011,92011,4,1,21022,133,0,8.0,上級攻撃(攻撃力：105),0
181,21022,21021,91011,92011,4,2,21023,140,0,8.0,上級攻撃(攻撃力：113),0
182,21023,21021,91011,92011,5,3,21024,147,0,8.0,上級攻撃(攻撃力：122),0
183,21024,21021,91011,92012,5,4,21025,154,0,8.0,上級攻撃(攻撃力：130),0
184,21025,21021,91011,92012,5,5,21026,161,0,8.0,上級攻撃(攻撃力：138),0
185,21026,21021,91011,92012,5,6,21027,168,0,8.0,上級攻撃(攻撃力：147),0
186,21027,21021,91011,92013,5,7,21028,175,0,8.0,上級攻撃(攻撃力：155),0
187,21028,21021,91011,92013,5,8,21029,182,0,8.0,上級攻撃(攻撃力：164),0
188,21029,21021,91011,92013,5,9,21030,189,0,8.0,上級攻撃(攻撃力：172),0
189,21030,21021,91011,92014,6,10,0,196,0,8.0,上級攻撃(攻撃力：179),0
190,21031,21031,91031,92031,1,1,21032,1,0,4.5,一定時間防御力アップ(防御力 +1，持続：35秒),1
191,21032,21031,91031,92031,1,2,21033,8,0,6.0,一定時間防御力アップ(防御力 +4，持続：37秒),1
192,21033,21031,91031,92031,1,3,21034,15,0,7.199999809265137,一定時間防御力アップ(防御力 +8，持続：39秒),1
193,21034,21031,91031,92032,1,4,21035,22,0,8.300000190734863,一定時間防御力アップ(防御力 +12，持続：41秒),1
194,21035,21031,91031,92032,1,5,21036,29,0,9.100000381469727,一定時間防御力アップ(防御力 +16，持続：43秒),1
195,21036,21031,91031,92032,2,6,21037,36,0,10.399999618530273,一定時間防御力アップ(防御力 +20，持続：46秒),1
196,21037,21031,91031,92033,2,7,21038,43,0,11.399999618530273,一定時間防御力アップ(防御力 +25，持続：49秒),1
197,21038,21031,91031,92033,2,8,21039,50,0,12.100000381469727,一定時間防御力アップ(防御力 +29，持続：52秒),1
198,21039,21031,91031,92033,2,9,21040,57,0,12.5,一定時間防御力アップ(防御力 +33，持続：55秒),1
199,21040,21031,91031,92034,2,10,0,64,0,13.5,一定時間防御力アップ(防御力 +37，持続：60秒),1
200,21041,21041,91031,92031,3,1,21042,71,0,6.300000190734863,一定時間クリティカルアップ(クリティカル +21，持続：37秒),1
201,21042,21041,91031,92031,3,2,21043,77,0,8.5,一定時間クリティカルアップ(クリティカル +22，持続：40秒),1
