index,reward_id,reward_type,value,duration,name
0,11,1,10,90,獲得経験値 10% 増加
1,12,1,15,120,獲得経験値 15% 増加
2,13,1,20,90,獲得経験値 20% 増加
3,21,2,3,90,攻撃力 3 増加
4,22,2,5,120,攻撃力 5 増加
5,23,2,6,100,攻撃力 6 増加
6,31,3,3,90,防御力 3 増加
7,32,3,5,120,防御力 5 増加
8,33,3,6,100,防御力 6 増加
9,41,4,10,60,モンスターのアイテムドロップ率に対して 10% 増加 (20%の場合 22%に増加)
10,42,4,15,80,モンスターのアイテムドロップ率に対して 15% 増加 (20%の場合 23%に増加)
11,43,4,20,70,モンスターのアイテムドロップ率に対して 20% 増加 (20%の場合 24%に増加)
12,91,1,100,720,獲得経験値 100% 増加
13,92,1,100,960,獲得経験値 100% 増加
14,93,1,100,120,獲得経験値 100% 増加
15,94,1,100,150,獲得経験値 100% 増加
16,95,1,120,960,獲得経験値 120% 増加
17,96,1,150,960,獲得経験値 150% 増加
18,97,1,180,960,獲得経験値 180% 増加
19,98,1,200,960,獲得経験値 200% 増加
20,99,1,300,960,獲得経験値 300% 増加
21,100,1,400,960,獲得経験値 400% 増加
22,24,2,7,130,攻撃力 7 増加
23,25,2,8,140,攻撃力 8 増加
24,26,2,9,150,攻撃力 9 増加
25,27,2,10,160,攻撃力 10 増加
26,34,3,7,130,防御力 7 増加
27,35,3,8,140,防御力 8 増加
28,36,3,9,150,防御力 9 増加
29,37,3,10,160,防御力 10 増加
