index,state_id,code,name
0,1,SK001105,最大HPアップ
1,2,SK001106,HPアップ
2,3,SK001107,HP回復速度アップ
3,4,SK001108,攻撃力アップ
4,5,SK001109,防御力アップ
5,6,SK001110,回避アップ
6,7,SK001111,攻撃速度アップ
7,8,SK001112,移動速度アップ
8,9,SK001113,クールタイムアップ
9,10,SK001114,命中アップ
10,11,SK001115,クリティカルアップ
11,12,SK001116,パワーゲージアップ
12,13,SK001117,復活
13,129,SK001205,最大HPダウン
14,130,SK001206,HPダウン
15,131,SK001207,HP 回復速度ダウン
16,132,SK001208,攻撃力ダウン
17,133,SK001209,防御力ダウン
18,134,SK001210,回避ダウン
19,135,SK001211,攻撃速度ダウン
20,136,SK001212,移動速度ダウン
21,137,SK001213,クールタイムダウン
22,138,SK001214,命中ダウン
23,139,SK001215,クリティカルダウン
24,140,SK001216,パワーゲージダウン
25,256,SK001303,頭痛
26,257,SK001304,毒
27,258,SK001305,猛毒
28,259,SK001306,麻痺
29,260,SK001307,眠り
30,261,SK001308,ダウン
31,262,SK001309,混乱
32,263,SK001310,爆弾
33,264,SK001311,秒読み
34,265,SK001312,即死
35,266,SK001313,ゾンビ化
36,267,SK001117,無敵
