index,title_id,effect_type,effect_value
0,1,4,1
1,2,6,1
2,4,5,1
3,5,8,50
4,7,11,120
5,8,11,140
6,9,11,160
7,10,16,110
8,11,12,130
9,12,12,130
10,13,12,150
11,13,14,10
12,14,9,90
13,14,10,110
14,16,8,110
15,17,7,70
16,19,5,1
17,19,8,50
18,26,18,10
19,26,19,10
20,26,23,10
21,26,20,10
22,26,21,10
23,27,19,10
24,27,23,10
25,27,20,10
26,27,21,10
27,28,23,10
28,28,20,10
29,28,21,10
30,29,20,10
31,29,21,10
32,30,21,10
33,31,20,10
34,32,18,10
35,32,19,10
36,32,23,10
37,32,20,10
38,32,21,10
39,33,19,10
40,33,23,10
41,33,20,10
42,33,21,10
43,34,23,10
44,34,20,10
45,34,21,10
46,35,20,10
47,35,21,10
48,36,21,10
49,37,20,10
50,38,18,10
51,38,19,10
52,38,23,10
53,38,20,10
54,38,21,10
55,39,19,10
56,39,23,10
57,39,20,10
58,39,21,10
59,40,23,10
60,40,20,10
61,40,21,10
62,41,20,10
63,41,21,10
64,42,21,10
65,43,20,10
66,56,5,1
67,56,8,50
68,56,24,1
69,56,25,1
