index,item_id,code,name,desc,i0,i1,i2,i3,i4,i5,i6,i7,i8,i9,i10,i11,i12
0,110001,blade_A0001,Stinger,Cutter-type blade,2,4,8,2,1,0,0,0,102,20001,0,1,522222
1,119001,blade_A0001,Limit Break Stinger,"A legendary modified Stinger. Because it forcibly draws out its latent power, it cannot be handled by anyone below a fourth-year student.",2,4,8,2,1,0,0,0,102,20001,0,1,522222
2,119009,blade_A0001,Stinger,Cutter-type blade,2,4,8,2,1,0,0,0,102,20001,0,1,522222
3,110002,blade_A0002,Baro Sword,A blade equipped with a convenient function for measuring length.,2,4,8,2,1,0,0,0,104,20002,0,1,522222
4,912001,blade_A0003,Megaton Hammer,Slot 1,2,4,8,2,1,1,0,0,101,20004,10,1,10005
5,912002,blade_A0003,Megaton Hammer,Slot 2,2,4,8,2,1,2,0,0,101,20004,20,2,10005
6,912003,blade_A0003,Megaton Hammer,Slot 3,2,4,8,2,1,3,0,0,101,20004,30,3,10005
7,912004,blade_A0003,Megaton Hammer,Slot 4,2,4,8,2,1,4,0,0,101,20004,40,4,10005
8,912005,blade_A0003,Megaton Hammer,Slot 5,2,4,8,2,1,5,0,0,101,20004,50,5,10005
9,110003,blade_A0003,Megaton Hammer,"A somewhat compact hammer, but with more than enough power. Its structure concentrates mass at the point of impact at the moment of the strike, allowing it to be wielded with one hand while still delivering heavy damage.",2,4,8,2,1,0,0,0,101,20004,0,1,522222
10,119006,blade_A0003,Event Megaton Hammer,"A somewhat compact hammer, but with more than enough power. Its structure concentrates mass at the point of impact at the moment of the strike, allowing it to be wielded with one hand while still delivering heavy damage.",2,5,8,2,1,0,0,0,101,20004,0,1,522222
11,110004,blade_A0004,Vine Rapier,"A blade with a long, pointed sword edge. Vines are wrapped around the blade and the guard.",2,4,8,2,1,0,0,0,104,20006,0,1,522222
12,110005,blade_A0005,Ring Dagger,"It came to be called a “Ring Dagger” because a ring about the size of a fist is attached to the pommel. Because of this ring, it is difficult to conceal and is not very useful as a dagger.",2,4,8,2,1,0,0,0,0,0,0,1,522222
13,110006,blade_A0006,Wooden Sword,"A must-have item for delinquent mode. Along with the nail bat, it is known as one of the two great weapons of delinquents. Its intimidating appearance is more effective than its practicality.",2,4,8,2,1,0,0,0,104,20008,0,1,522222
14,110007,blade_A0007,Spiked Bat,"Together with the wooden sword, it is considered one of the two great weapons of delinquents and is a must-have in delinquent mode. Its vicious shape is so intimidating that even the person using it sometimes gets scared.",2,4,8,2,1,0,0,0,101,20009,0,1,522222
15,110008,blade_A0008,Fly Pang☆,A very large frying pan. There is a rumor that it was originally made to cook ostrich eggs.,2,4,8,2,1,0,0,0,101,20030,0,1,522222
16,110009,blade_A0009,Evening Star,"A weapon rumored to become strongest in the evening. However, when you actually try using it, the rumor doesn’t seem very believable.",2,4,8,2,1,0,0,0,101,20011,0,1,522222
17,110010,blade_A0010,Kitchen Knife,"Used for peeling apples and preparing sashimi. Some say it was made as a weapon for cooking monsters, but so far no monster dishes have ever appeared.",2,4,8,2,1,0,0,0,0,0,0,1,522222
18,110011,blade_A0011,Sonic Blade,A blade equipped with a rapidly spinning edge that operates on the same principle as a chainsaw.,2,4,8,2,1,0,0,0,104,20015,0,1,522222
19,119002,blade_A0011,Tonic Blade,"A fake Sonic Blade. It’s said that a bold bartender once used it to mix cocktails. Because its output is weak, even first-year students can handle it.",2,4,8,2,1,0,0,0,104,20015,0,1,522222
20,110012,blade_A0012,Magical Stomper,"It looks like a toy, but it actually boasts considerable power. An opponent who gets hit while letting their guard down will be surprised by the damage!",2,4,8,2,1,0,0,0,101,20032,0,1,522222
21,119022,blade_A0012,Hitōban Hammer,"A weapon that has captured the yokai known as “Hitōban,” which is human during the day but whose head flies away from its body at night. Be careful that it doesn’t fly off when using its skill!",2,4,8,2,1,0,0,0,101,20032,0,1,522222
22,110013,blade_A0013,Juggernaut Hammer,"A crude, brutally heavy hammer. It looks so intimidating that you feel like you might take damage just by looking at it. You should absolutely avoid dueling someone wielding this weapon.",2,4,8,2,1,0,0,0,102,20018,0,1,522222
23,119004,blade_A0013,Trial Hammer,"It looks almost identical to the Juggernaut Hammer, but because it’s made from a lighter metal than the real one, even second-year students can handle it.",2,4,8,2,1,0,0,0,102,20018,0,1,522222
24,110014,blade_A0014,Assassin’s Thunder,"A weapon favored by assassins. Electricity flows through the entire blade except for the rubber part of the handle, and simply touching it can cause fatal damage.",2,4,8,2,1,0,0,0,0,0,0,1,522222
25,110015,blade_A0015,Thunder Saber,A beam sword with a blade that focuses energy flowing from the rechargeable battery in the handle. The sound it makes each time it’s swung is really cool.,2,4,8,2,1,0,0,0,104,20021,0,1,522222
26,119011,blade_A0015,Thunder Saber,A beam sword with a blade that focuses energy flowing from the rechargeable battery in the handle. The sound it makes each time it’s swung is really cool.,2,4,8,2,1,0,0,0,104,20021,0,1,522222
27,110016,blade_A0016,Katana,"A traditional blade from ancient Japan and a symbol of the samurai. Its edge is extremely sharp, so it must be handled with care.",2,4,8,2,1,0,0,0,104,20023,0,1,522222
28,110017,blade_A0017,Asura Blade,"A blade said to have a demon god sealed within it. Only those with courage greater than that of the demon god itself can wield it. If mastered, its power is said to be truly terrifying…",2,4,8,2,1,0,0,0,0,0,0,1,522222
29,110018,blade_A0018,Vice-Principal Slayer,A legendary blade that has been secretly passed down only among sixth-year students. It is said that whoever wields this blade gains the power to defeat even the vice-principal.,2,4,8,2,1,0,0,0,102,20036,0,1,522222
30,110019,blade_A0019,Screwdriver,A Phillips screwdriver shaped like a screw.,2,4,8,2,1,0,0,0,104,20016,0,1,522222
31,119003,blade_A0019,Paper Driver,"A screwdriver made out of papercraft. Naturally, it’s weaker than the real thing. If you keep going without any accidents, it might even turn gold?",2,4,8,2,1,0,0,0,104,20016,0,1,522222
32,119010,blade_A0019,Paper Driver,"A screwdriver made out of papercraft. Naturally, it’s weaker than the real thing. If you keep going without any accidents, it might even turn gold?",2,4,8,2,1,0,0,0,104,20016,0,1,522222
33,110020,blade_A0020,Vermilion Edge,A blade with a crimson gemstone set in the guard. It is said to become stronger when the gem emits light.,2,4,8,2,1,0,0,0,102,20034,0,1,522222
34,110021,blade_A0021,Bringer,A blade shaped like a large scythe.,2,4,8,2,1,0,0,0,102,20028,0,1,522222
