episode_id,t1,t2,t3,t4,a,b
0,All Episodes,Displays all episodes.,0,,1,0
1,[26] The Wizard of Oz,Marsh isn't the only thing troubling Paige-sensei! A book called The Wizard of Oz has vanished from the library. But it seems the book was never taken outside... Let's go deep into the library and search for the missing book! Then, a mysterious girl named Dorothy-and "something"-appear!,Students in year 1 or above who cleared “Robogas Explosion”,,1,10001
2,[87] Operation Rescue Johnny,"At Mei's request, the group enters the greenhouse and successfully rescues Johnny. But Johnny is worried about the Great Baraus deep inside the greenhouse... Just what is the Great Baraus?",Students in year 3 or above who cleared “Wisdom Teeth”,,1,10402
3,[52] Henkuma's Heist,"Henkuma, owner of the shady stall in front of the school, collects used women's handkerchiefs! He has his eyes fixed on the handkerchief of Bianca, the famous sexy school nurse. Take Henkuma's request and sneak into Bianca's mansion together. But rumor says Bianca-sensei is the daughter of a mafia boss...",Students in year 2 or above who cleared “Catch the Book Thief!”,,1,10702
4,[69] Henkuma's Retry,"Henkuma, owner of the shady stall in front of the school!! A collector of suspicious goods!! Undeterred by his last failure, he asks once again for Bianca's handkerchief... What a stubborn guy! But Bianca-sensei won't be so forgiving this time!",Students in year 3 or above who cleared “Duel at the School Gate”,,1,10402
5,[1] Hallway Full of Boxes,"Because of EVP, monsters called Soso have started appearing all over the school. They're no big deal to everyone else, but Ben-sensei is terrified of them. During his night shift, Soso appeared in the hallway and threw him into a panic. Wipe out all the Soso in the hallway, for Ben-sensei and for peace at school!",Students in year 1 or above,,1,10001
6,[5] Ratchu Extermination Ope,"Single and unmarried, with knitting as a hobby and court cuisine among her talents, Somunyang-sensei is an elegant lady known for her refined speech. But to her horror, she has spotted a mouse! For the teacher, who says she cannot hold class like this, the mouse extermination operation begins! But no matter how many you beat, more keep appearing, so working with friends is important!!",Students in year 1 or above who cleared “Geto's Great March!”,,1,10001
7,[46] Mao-sensei's Bag,"Mao Xiaoping-sensei is always smiling, but no one knows what he is thinking. Who was fearless enough to steal Mao-sensei's bag?! You went to the classroom to look for it, but the bag is nowhere to be found... Who could the culprit be?",Students in year 2 or above who cleared “Lost Lamb”,,1,10702
8,[36] Midnight Ghost,"After a murder case, now a ghost?! Suspicious rumors are spreading that a ghost wanders the school at midnight. This time the client is Riez-sensei, Estiva's only sensible person, passionate and devoted to the students! Investigate the incident and drive out the ghost!!",Students in year 2 or above who cleared “Suchong's Strange Case Files”,,1,10702
9,[35] Guardian of the Seal,"Mao Xiaoping-sensei has asked you to destroy a “dangerous thing under the library.” After a hard fight, you arrive at a place containing an “antique” pillar that looks out of place in a library!! When you destroy it... whoa, who is that powerful-looking thing that suddenly appeared?!",0,,1,0
10,[55] Is the Truth Out There?,"Mei, who calls herself greenhouse manager Johnny's “cute girlfriend” and insists she is his capable assistant, suspects Mao Xiaoping-sensei may be behind the strange things appearing in the greenhouse. She asks you to tail Mao-sensei, who has been doing something in the lab every night...",Students in year 2 or above who cleared “Henkuma's Suspicious Request”,,1,10702
11,[75] Sunken Classroom,"A water pipe burst and flooded the school! The water must be pumped out to restore things, but Myurobies appearing from somewhere are getting in the way. Defeat the Myurobies and pump out the water-it's going to be a busy day!!",Students in year 3 or above who cleared “Object X From Beyond”,,1,10402
12,[100] Beloved François,"It seems Somunyang-sensei's cute pet has run away. The group searches the underground waterway and finds the “cute” pet... Whatever it really is, return it safely to the teacher.",Students in year 4 or above who cleared “Protect the Greenhouse”,,1,10004
13,[63] The Watergate Incident,"Because someone destroyed the underground waterway lever, the waterway is on the verge of overflowing. Fortunately, it seems you can also enter the underground waterway through a secret passage deep in the library. ...Let's go! Only you can stop the flooding!",Students in year 3 or above who cleared “First Contact”,,1,10402
14,[34] Suchong's Strange Case ,"With monsters multiplying explosively and the school in an uproar, rumors spread that a murder occurred in the greenhouse. Power-hungry Suchong seems to want to use this case as a stepping stone toward becoming student council president. You follow Suchong around the greenhouse looking for a body... But did a murder really happen? Is there really a body?",Students in year 2 or above who cleared “Sheep or Greenhouse”,,1,10702
15,[14] Student Council Mission,"Clumsy Mocha secretly admires Suchong from the student council. But unlike Mocha's fantasy, rumors say Suchong is just an ambitious fool... One day, that very Suchong tells the students he will lead them to exterminate monsters. But when you arrive, Suchong's orders are different from what he said at first! Mocha, stop thinking about a guy like this and come to me!",Students in year 1 or above who cleared “The Sheep's Appetite”,,1,10001
16,[40] Council Mission Reload,"After causing controversy in the “Special Mission Student Council” incident, Suchong now says you should exterminate the Teddies in the library. When you go to the library, Teddies do appear... but it seems Suchong is interested in something else. And then, yet another mishap occurs... Will you still trust him and go on? Or turn back here?",Students in year 2 or above who cleared “Ben-sensei's Household Finances”,,1,10702
17,[3] Geto's Great March!,"After the Soso incident, giant caterpillars called Geto have appeared in huge numbers on the school route! The girls are apparently too scared of Geto to go to school. Students! It might be gross, but wipe out the swarm of Geto in front of the school gate!",Students in year 1 or above who cleared “Boxes Filling the Hallway @ 2F”,,1,10001
18,[7] Marsh Attack!,"A distress signal comes from the quiet and beautiful librarian, Paige-sensei! The book-eating Marsh have always made managing the library difficult, but lately they have been appearing in huge numbers, so she wants them exterminated. Marsh attack in groups, so be careful!",Students in year 1 or above who cleared “Ratchu Extermination Operation”,,1,10001
19,[98] Protect the Greenhouse,"The greenhouse is flooded!! Worse, huge numbers of water-dwelling Myurobies have settled there, making it impossible to handle. Break the stones to drain the water, and defeat the Myurobies too.",Students in year 4 or above who cleared “The Flaming Infirmary”,,1,10004
20,[81] They're at the mountain,"The school's back mountain has been occupied by the Sparbies, who call themselves a “traveling tribe.” They block students' passage and even attack the sheep in the pen, so drive them out quickly! Will the Sparbies' rampage continue unless King Sparbie is defeated?",Students in year 3 or above who cleared “The Wolf Is Coming!”,,1,10402
21,[108] Henkuma Library,"Henkuma, the boss of the shady stalls in front of the school, now asks you to bring him an adults-only book from the library. You head to the library to sneak it out without Paige-sensei noticing, only to find Dorothy with no memory and Bobokan in a panic. And for some reason, Baraus that should be in the greenhouse are swarming the library! What is going on in the library...?",Students in year 4 or above who cleared “They Came to the Greenhouse”,,1,10004
22,[73] Object X From Beyond,"An incident occurs where students who enter the library lose their memories. Dorothy, Karte, Suchong... what happened to them? If you don't defeat the mysterious fluttering creature in time, it will steal every memory in your head! Defeat the creature and recover the stolen memories of everyone whose minds were emptied.",Students in year 3 or above who cleared “Escargot Rush”,,1,10402
23,[11] The Sheep's Appetite,"Clumsy Mocha is a member of the student council. While on the back mountain, she takes a spectacular tumble as usual and scatters the handouts she was carrying! There are 300 sheets in all, and as time passes, the sheep on the back mountain eat them one by one. Defeat the sheep and help Mocha. Hurry, or all the handouts will be eaten and her effort will be wasted!",Students in year 1 or above who cleared “Marsh Attack!”,,1,10001
24,[67] Duel at the School Gate,"The students are troubled by the Wargumas in front of the school. Worst of all is Henkuma, who spreads out his shady stall right at the school gate. Teach Henkuma and the others a lesson and improve the school's atmosphere! A great duel against the Warguma army-a full-power battle with massive milk consumption!",Students in year 3 or above who cleared “Seal Off the Underground Waterway”,,1,10402
25,[65] Seal the Underground,"Mao Xiaoping-sensei says leaving the underground waterway as it is would be dangerous, so the passage levers must be destroyed to seal the entrances and exits. Go to the greenhouse to recover the key from Baraus, and destroy every gate. Seal all emergency exits.",Students in year 3 or above who cleared “The Watergate Incident”,,1,10402
26,[71] Escargot Rush,"They say that in a country far across the sea, snail dishes are the finest delicacy... The gourmet swordsman Yochimaru keeps pestering you because he wants to try the highest-grade snail cuisine. But ordinary snail dishes won't satisfy him... What will happen at the end of Yochimaru's gluttony?",Students in year 3 or above who cleared “Henkuma's Persistent Request”,,1,10402
27,[20] An Evening of Jingisuka,"Hyunrang, Estiva's beautiful boy, is said to be charming because of the mismatch between his wild looks and shy personality. His obsession with sheep is known both inside and outside the school. While he was away from the pen for a while, Baraus from the greenhouse multiplied and attacked! Defeat the Baraus and carry the sheep, frozen with fear, back to the safety of the pen. Yochimaru, the gourmet swordsman, thinks he'll be blamed if all the sheep disappear, so he comes to protect them too, but...",Students in year 1 or above who cleared “Penguin-Mark Delivery Service”,,1,10001
28,[105] They Came to the Green,"Lately, the crops in Mei's field have been disappearing. The Sparbies that came to the greenhouse are the culprits! Defeat the Sparbies and recover the crops, but some of them run off with the crops still swallowed. Chase them down and recover all the remaining crops from King Sparbie!",Students in year 4 or above who cleared “Lost Little Johnny”,,1,10004
29,[38] Ben-sensei's Household,"Ben-sensei's wallet was stolen! The culprits are the Wargumas! Students, bring the hammer of justice down on the Wargumas!",Students in year 2 or above who cleared “Midnight Ghost”,,1,10702
30,[32] Sheep or Greenhouse,"The sheep have wandered into the greenhouse! Johnny, the greenhouse manager, worries that the flowers will be eaten, while Hyunrang, famous for being a sheep fanatic, worries that the cute sheep will be attacked by mutant flowers. To make matters worse, even a lamb has gone missing! Return all the sheep to the pen!!",Students in year 2 or above who cleared “The Library Secret”,,1,10702
31,[20] The Stolen Lunch,"Father Vermont lives in a chapel beside a cemetery nearby. He's looks after a pair of unusual twin sisters. One day, the priest asks you to deliver a lunch to the older twin, Suiren, who is always busy cleaning. But Karen, the troublesome girl who revealed her greedy nature during the animal spirit incident, tries to get in the way...",Students in year 1 or above who cleared “Sowol Cleanup Operation”,,1,20001
32,[11] Food Grudge,"Near the lonely Sowol Academy is a public cemetery. At night, suspicious rumors say the animal memorial there cries out loudly. ★LET'S GO★ calm the grudge of the animal memorial! But the ending is...",Students in year 1 or above who cleared “His and Her Student Council”,,1,20001
33,[3] Scaredy-Cat Sam-sensei,"Timid night-shift Sam-sensei finally decides he is too scared to patrol the school at night, leaves it to the students, and runs away. When you patrol at night in his place... the moment you enter the school, monsters burst out everywhere! No wonder Sam-sensei hates patrolling. Come on, let's wipe them all out!",Students in year 1 or above who cleared “Boxes Filling the Faculty Room”,,1,20001
34,[14] A Talisman for the Ghos,"They say ghosts always appear in Sowol Academy's school building at night. Even the genius girl Youen-sensei, who graduated medical school at age ten and became the school nurse, is still a child, so maybe it is only natural that ghost rumors make her tremble. The students rise up to protect her! What is Kurata's goal in approaching Youen-sensei?",Students in year 1 or above who cleared “Food Grudge”,,1,20001
35,[67] A Scene with Crocos,"Around Sowol Academy's bus stop, as far as the eye can see, Crocos, Crocos, Crocos!! I can't stand amphibians! Huh? They're reptiles? First, defeat the Crocos and head to the underground waterway to investigate! What could be causing this?",Students in year 3 or above who cleared “Night of the Ripper”,,1,20402
