index,field_id,code,name
0,1,SF001001,Estiva Outdoors
1,2,SF001002,Estiva 1F
2,3,SF001003,Estiva 2F
3,4,FD000100,Library
4,5,FD000101,Library Basement
5,6,FD000102,Dusty Library
6,7,FD000103,World Tree Root Maze
7,8,FD000104,Library Secret Passage
8,9,FD000105,Dorothy's Room
9,10,FD000201,Greenhouse Entrance
10,11,FD000202,Path to the Center
11,12,FD000203,Mutant Flower
12,13,FD000204,High Baraus Forest 1
13,14,FD000205,High Baraus Forest 2
14,15,FD000300,Underground Secret Passage
15,16,FD000301,Bianca-sensei's Mansion
16,17,FD000400,Bianca-sensei's Mansion
17,18,FD000501,Estiva 1F
18,19,FD000601,Estiva 1F
19,20,FD000701,Estiva 2F
20,21,FD000702,Mutant Flower
21,22,FD000801,Estiva 3F
22,24,SF001004,Estiva 3F
23,25,SF001005,Estiva Basement
24,26,SF001006,Estiva Backyard
25,27,SF001007,Estiva Bus Stop
26,28,FD001001,Estiva 2F
27,29,FD001501,Estiva Basement
28,30,FD001502,Underground waterway
29,31,FD001701,In Front of the School Gate
30,32,FD002401,"In Front of the School Gate, Day"
31,33,FD002402,"In Front of the School Gate, Nig"
32,34,FD000901,Library Basement
33,35,FD000902,Dusty Library
34,36,FD000903,Snail Waterway
35,37,FD000904,Antique Altar
36,38,FD001101,Flooded School Building 2F
37,39,FD001201,Underground Secret Passage
38,40,FD001202,Underground waterway
39,41,FD001301,World Tree Root Maze
40,42,FD001302,Dangerous Underground Waterway
41,43,FD001303,Collapsed Underground Waterway
42,44,FD001601,Dusty Library
43,45,FD001602,High Baraus Forest
44,46,FD001801,Library Basement
45,47,FD001901,High Baraus Forest 1
46,48,FD001902,Mutant Flower
47,49,FD001903,High Baraus Forest 2
48,50,FD002001,"School Back Mountain, Evening"
49,51,FD002002,"School Back Mountain, Midnight"
50,52,FD002101,Library Basement 1
51,53,FD002102,Library Basement 2
52,54,FD002103,Dusty Library
53,55,FD002104,Return Library Basement
54,56,FD002105,Return Library
55,57,FD002201,Library Basement
56,58,FD002202,Dusty Library
57,59,FD002203,World Tree Root Maze
58,60,FD002301,Backyard Full of Sheep
59,61,FD001802,Dusty Library
60,62,FD002701,"School Backyard, Evening"
61,63,FD002702,Greenhouse Entrance
62,64,FD002901,In Front of the School Gate
63,65,FD002902,Underground Secret Passage
64,66,FD002903,"In Front of the School Gate, Eve"
65,67,FD003001,Greenhouse
66,68,FD003002,School Back Mountain
67,69,FD001401,Scarecrow Road 1
68,70,FD001402,Scarecrow Road 2
69,71,FD001403,Scarecrow Road 3
70,72,FD001404,Scarecrow Road 4
71,73,FD001201,Underground Secret Passage
72,74,FD001202,Snail Waterway
73,75,FD002801,Mutant Flower
74,76,FD002802,Path to the Center
75,77,FD002803,Grounds
76,78,FD002501,Path to the Center
77,79,FD002502,Mutant Flower
78,80,FD002503,Dangerous Underground Waterway
79,81,FD002601,Underground waterway
80,82,FD002602,School Back Mountain
81,83,FD002603,Snail Waterway
82,84,FD003101,Cathedral
83,85,FD003102,Public Cemetery Entrance
