monster_type,v1,v2,name,basis_id,v5
1,1,1,[1] Soso,0,-1
2,2,7,[2] Ratchu,0,-1
3,1,7,[1] Ratchu,0,-1
4,3,3,[3] Marsh,0,-1
5,4,25,[4] Blabby,0,-1
6,5,3,[5] Marsh,0,-1
7,6,25,[6] Blabby,0,-1
8,7,4,[7] Teddy,0,-1
9,8,4,[8] Teddy,0,-1
10,9,98,[9] Gregory II,0,-1
11,10,5,[10] Bobokan,0,-1
12,13,5,[13] Bobokan,0,-1
13,12,98,[12] Gregory II,0,-1
14,11,63,[11] ☆Soso☆,0,-1
15,14,63,[14] ☆Soso☆,0,-1
16,15,90,[15] Bonbo,0,-1
17,1,100,[1] Rollex,0,-1
18,16,8,[16] Geto,0,-1
19,1,32,[1] King Sparbie,0,-1
20,17,53,[17] Little Yangyang,0,-1
21,18,53,[18] Little Yangyang,0,-1
22,19,52,[19] Yangyang,0,-1
23,20,52,[20] Yangyang,0,-1
24,1,31,[1] Sparbie,0,-1
25,21,11,[21] Baraus,0,-1
26,22,11,[22] Baraus,0,-1
27,1,38,[1] Gou,0,-1
28,23,10,[23] Wood,0,-1
29,1,10,[1] Wood,0,-1
30,24,29,[24] Myurobie,0,-1
31,25,36,[25] Lady,0,-1
32,1,36,[1] Lady,0,-1
33,26,12,[26] High Baraus,0,-1
34,27,37,[27] Steady,0,-1
35,1,120,[1] Angry Myurobie,0,-1
36,1,55,[1] Soso Skeleton,0,-1
37,2,56,[2] Halloween,0,-1
38,7,54,[7] Foxy,0,-1
39,1,9,[1] Monera,0,-1
40,1,9,[1] Monera,0,-1
41,4,65,[4] Rigu,0,-1
42,5,84,[5] Nightwalker,0,-1
43,6,66,[6] Bio,0,-1
44,1,46,[1] Hakkoumori,0,-1
45,3,57,[3] Zero-Seven,0,-1
46,1,57,[1] Zero-Seven,0,-1
47,1,96,[1] Soso Mummy,0,-1
48,8,58,[8] Wraith,0,-1
49,9,67,[9] Flying Skull,0,-1
50,10,86,[10] Kamaitachi,0,-1
51,11,99,[11] Music Box Soso,0,-1
52,1,126,[1] Kokko,0,-1
53,12,31,[12] Sparbie,0,-1
54,13,31,[13] Sparbie,0,-1
55,14,106,[14] Black Widow Spider,0,-1
56,1,106,[1] Black Widow Spider,0,-1
57,16,73,[16] Nina,0,-1
58,17,74,[17] Nino,0,-1
59,18,72,[18] Emily,0,-1
60,15,73,[15] Nina,0,-1
61,19,74,[19] Nino,0,-1
62,20,72,[20] Emily,0,-1
63,21,75,[21] Puppet,0,-1
64,22,75,[22] Puppet,0,-1
65,23,94,[23] Tohoho,0,-1
66,24,103,[24] Ninja,0,-1
67,25,103,[25] Ninja,0,-1
68,26,76,[26] Hoggy Puppet,0,-1
69,27,91,[27] Prisoner,0,-1
70,1,6,[1] Wild Woodherian,0,-1
71,28,123,[28] Red Soso,0,-1
72,29,124,[29] Blue Soso,0,-1
73,1,113,[1] Cleaning Professor,0,-1
74,1,126,[1] Kokko,0,-1
75,1,114,[1] Catatsler,0,-1
76,1,109,[1] Desk Mimic,0,-1
77,1,110,[1] Chair Fighter,0,-1
78,1,93,[1] Piggy,0,-1
79,30,101,[30] Jelly Deli,0,-1
80,1,6,[1] Wild Woodherian,0,-1
81,28,123,[28] Red Soso,0,-1
82,29,124,[29] Blue Soso,0,-1
83,1,113,[1] Cleaning Professor,0,-1
84,76,126,[76] Kokko,0,-1
85,1,114,[1] Catatsler,0,-1
86,1,109,[1] Desk Mimic,0,-1
87,1,110,[1] Chair Fighter,0,-1
88,1,93,[1] Piggy,0,-1
89,30,101,[30] Jelly Deli,0,-1
90,1,6,[1] Wild Woodherian,0,-1
91,1,123,[1] Red Soso,0,-1
92,1,124,[1] Blue Soso,0,-1
93,1,113,[1] Cleaning Professor,0,-1
94,80,126,[80] Kokko,0,-1
95,1,114,[1] Catatsler,0,-1
96,1,109,[1] Desk Mimic,0,-1
97,1,110,[1] Chair Fighter,0,-1
98,1,93,[1] Piggy,0,-1
99,1,101,[1] Jelly Deli,0,-1
100,1,6,[1] Wild Woodherian,0,-1
101,1,123,[1] Red Soso,0,-1
102,1,124,[1] Blue Soso,0,-1
103,1,113,[1] Cleaning Professor,0,-1
104,1,112,[1] Shadow Beast,0,-1
105,1,114,[1] Catatsler,0,-1
106,1,109,[1] Desk Mimic,0,-1
107,1,110,[1] Chair Fighter,0,-1
108,1,93,[1] Piggy,0,-1
109,1,101,[1] Jelly Deli,0,-1
110,31,47,[31] Little Croco,0,-1
111,32,27,[32] Globie,0,-1
112,33,47,[33] Little Croco,0,-1
113,34,27,[34] Globie,0,-1
114,35,33,[35] Croco,0,-1
115,36,27,[36] Globie,0,-1
116,37,33,[37] Croco,0,-1
117,38,27,[38] Globie,0,-1
118,39,33,[39] Croco,0,-1
119,40,31,[40] Sparbie,0,-1
120,41,33,[41] Croco,0,-1
121,42,31,[42] Sparbie,0,-1
122,43,33,[43] Croco,0,-1
123,44,31,[44] Sparbie,0,-1
124,45,29,[45] Myurobie,0,-1
125,46,31,[46] Sparbie,0,-1
126,47,29,[47] Myurobie,0,-1
127,48,31,[48] Sparbie,0,-1
128,50,29,[50] Myurobie,0,-1
129,52,120,[52] Angry Myurobie,0,-1
130,54,29,[54] Myurobie,0,-1
131,56,120,[56] Angry Myurobie,0,-1
132,58,29,[58] Myurobie,0,-1
133,60,120,[60] Angry Myurobie,0,-1
134,62,125,[62] Shadow Nyudo,0,-1
135,64,120,[64] Angry Myurobie,0,-1
136,66,125,[66] Shadow Nyudo,0,-1
137,68,120,[68] Angry Myurobie,0,-1
138,70,125,[70] Shadow Nyudo,0,-1
139,72,112,[72] Shadow Beast,0,-1
140,74,125,[74] Shadow Nyudo,0,-1
141,76,112,[76] Shadow Beast,0,-1
142,78,125,[78] Shadow Nyudo,0,-1
143,80,112,[80] Shadow Beast,0,-1
144,82,95,[82] Patrobo,0,-1
145,84,112,[84] Shadow Beast,0,-1
146,86,95,[86] Patrobo,0,-1
147,88,95,[88] Patrobo,0,-1
148,91,136,[91] Bobokan Deluxe,0,-1
149,94,108,[94] Soso Planet,0,-1
150,97,116,[97] Quila,0,-1
151,100,111,[100] Dimensional Fish,0,-1
152,109,113,[109] Cleaning Professor,0,-1
164,103,116,[103] Quila,0,-1
165,106,111,[106] Dimensional Fish,0,-1
166,112,111,[112] Dimensional Fish,0,-1
167,115,113,[115] Cleaning Professor,0,-1
168,118,109,[118] Desk Mimic,0,-1
169,121,113,[121] Cleaning Professor,0,-1
170,124,109,[124] Desk Mimic,0,-1
171,127,110,[127] Chair Fighter,0,-1
172,130,110,[130] Chair Fighter,0,-1
173,133,114,[133] Catatsler,0,-1
174,136,117,[136] 4D Woodherian,0,-1
175,139,46,[139] Hakkoumori,0,-1
176,142,96,[142] Soso Mummy,0,-1
177,146,82,[146] Fuku's Turtle,0,-1
178,150,96,[150] Soso Mummy,0,-1
179,158,153,[158] Red Refic,0,-1
180,154,81,[154] Demp,0,-1
181,170,153,[170] Red Refic,0,-1
182,166,81,[166] Demp,0,-1
183,162,92,[162] Zarukaburi,0,-1
184,182,154,[182] Catacomb Guardian,0,-1
185,174,92,[174] Zarukaburi,0,-1
186,178,80,[178] Lowborn Frog,0,-1
187,194,154,[194] Catacomb Guardian,0,-1
188,186,80,[186] Lowborn Frog,0,-1
189,190,105,[190] Hinowa Nyudo,0,-1
190,1,152,[1] Treasure Monster,4,-1
191,1,152,[1] Treasure Monster,4,-1
192,1,152,[1] Treasure Monster,4,-1
193,1,152,[1] Treasure Monster,4,-1
194,1,152,[1] Treasure Monster,4,-1
195,1,152,[1] Treasure Monster,4,-1
196,1,152,[1] Treasure Monster,4,-1
197,1,152,[1] Treasure Monster,4,-1
198,1,152,[1] Treasure Monster,4,-1
199,1,152,[1] Treasure Monster,4,-1
200,1,152,[1] Treasure Monster,4,-1
201,1,152,[1] Treasure Monster,4,-1
202,1,152,[1] Treasure Monster,4,-1
203,1,152,[1] Treasure Monster,4,-1
